Year,Place,Name,Country,Mark
1964,1,Mary Denise BIGNAL-RAND,GBR,6.76
1964,2,Irena Szewińska,POL,6.60
1964,3,Tatyana SHCHELKANOVA,URS,6.42
1964,4,Ingrid BECKER-MICKLER,GER,6.40
1964,5,Viorica VISCOPOLEANU,ROU,6.35
1964,6,Diana CHRISTOVA-YORGOVA,BUL,6.24
1964,7,Hildrun CLAUS-LAUFER,GER,6.24
1964,8,Helga HOFFMANN,GER,6.23
1964,9,Berit BERTHELSEN-TOIEN,NOR,6.19
1964,10,Tatyana TALYSHEVA,URS,6.18
1964,11,Aida CHUIKO,URS,6.13
1964,12,Willye WHITE,USA,6.07
1964,13,Sheila Hilary PARKIN-SHERWOOD,GBR,6.04
1964,14,Maria Vittoria TRIO,ITA,5.98
1964,15,Johanna Catharina A. BIJLEVELD,NED,5.93
1964,16,Oddrun Helene HOKLAND-LANGE,NOR,5.68
1964,17,Alix JAMIESON,GBR,5.65
1964,18,Pam KILBORN-RYAN,AUS,
