Year,Place,Name,Country,Mark
2020,1,Joshua Kiprui CHEPTEGEI,UGA,12:58.15
2020,2,Mohammed AHMED,CAN,12:58.61
2020,3,Paul Kipkemoi CHELIMO,USA,12:59.05
2020,4,Nicholas Kipkorir KIMELI,KEN,12:59.17
2020,5,Jacob KIPLIMO,UGA,13:02.40
2020,6,Birhanu BALEW,BRN,13:03.20
2020,7,Justyn KNIGHT,CAN,13:04.38
2020,8,Mohamed KATIR,ESP,13:06.60
2020,9,Grant FISHER,USA,13:08.40
2020,10,Milkesa MENGESHA,ETH,13:08.50
2020,11,Andrew BUTCHART,GBR,13:09.97
2020,12,Luis GRIJALVA,GUA,13:10.09
2020,13,Jimmy GRESSIER,FRA,13:11.33
2020,14,William KINCAID,USA,13:17.20
2020,15,Dawit FIKADU,BRN,13:20.24
2020,16,Oscar CHELIMO,UGA,13:44.45
