Year,Place,Name,Country,Mark
2020,1,Sifan HASSAN,NED,14:36.79
2020,2,Hellen Onsando OBIRI,KEN,14:38.36
2020,3,Gudaf TSEGAY,ETH,14:38.87
2020,4,Agnes Jebet TIROP,KEN,14:39.62
2020,5,Ejgayehu TAYE,ETH,14:41.24
2020,6,Senbere TEFERI,ETH,14:45.11
2020,7,Nadia BATTOCLETTI,ITA,14:46.29
2020,8,Yasemin CAN,TUR,14:46.49
2020,9,Ririka HIRONAKA,JPN,14:52.84
2020,10,Selamawit TEFERI,ISR,14:54.39
2020,11,Karissa SCHWEIZER,USA,14:55.80
2020,12,Lilian Kasait RENGERUK,KEN,14:55.85
2020,13,Elise CRANNY,USA,14:55.98
2020,14,Karoline Bjerkeli GROVDAL,NOR,15:09.37
2020,15,Andrea SECCAFIEN,CAN,15:12.09
