Year,Event Name,Event Short Name,Gender,Minimum,Maximum,Mean,Median,Standard Deviation,Sample Size
1915,100y M,100y,M,10.2,10.3,10.275,10.3,0.0433,4
1915,1mile M,1mile,M,270,270,270,270,0,1
1915,220y M,220y,M,22,22,22,22,0,1
1915,440y M,440y,M,50,50,50,50,0,1
1915,discus M,discus,M,1356,1356,1356,1356,0,1
1915,hj M,hj,M,69.5,69.5,69.5,69.5,0,1
1915,lj M,lj,M,254,254,254,254,0,1
1915,pv M,pv,M,138,138,138,138,0,1
1915,shot M,shot,M,554.38,554.38,554.38,554.38,0,1
1916,100y M,100y,M,10.4,10.4,10.4,10.4,0,1
1916,1mile M,1mile,M,280.6,280.8,280.7,280.8,0.1,2
1916,220y M,220y,M,22.4,22.4,22.4,22.4,0,1
1916,440y M,440y,M,51.4,51.6,51.5,51.6,0.1,2
1916,discus M,discus,M,1404,1404,1404,1404,0,1
1916,hj M,hj,M,68.5,68.5,68.5,68.5,0,1
1916,lj M,lj,M,254.5,257.25,255.875,257.25,1.375,2
1916,pv M,pv,M,141,141,141,141,0,1
1916,shot M,shot,M,568.25,568.25,568.25,568.25,0,1
1917,100y M,100y,M,10,10.3,10.225,10.3,0.1299,4
1917,1mile M,1mile,M,277.6,277.6,277.6,277.6,0,1
1917,220y M,220y,M,22,22,22,22,0,1
1917,440y M,440y,M,53,53,53,53,0,1
1917,discus M,discus,M,1475,1475,1475,1475,0,1
1917,hj M,hj,M,69.25,69.25,69.25,69.25,0,1
1917,lj M,lj,M,262.5,262.5,262.5,262.5,0,1
1917,pv M,pv,M,132,132,132,132,0,1
1917,shot M,shot,M,573.25,573.25,573.25,573.25,0,1
1918,100y M,100y,M,10.2,10.2,10.2,10.2,0,1
1918,1mile M,1mile,M,284.4,284.4,284.4,284.4,0,1
1918,220y M,220y,M,22.4,22.4,22.4,22.4,0,1
1918,440y M,440y,M,49.6,50.3,49.95,50.3,0.35,2
1918,discus M,discus,M,1370,1370,1370,1370,0,1
1918,hj M,hj,M,71.75,71.75,71.75,71.75,0,1
1918,lj M,lj,M,251.25,251.25,251.25,251.25,0,1
1918,pv M,pv,M,138,138,138,138,0,1
1918,shot M,shot,M,534,534,534,534,0,1
1919,100y M,100y,M,10.4,10.4,10.4,10.4,0,1
1919,1mile M,1mile,M,287,287,287,287,0,1
1919,220y M,220y,M,23.8,23.8,23.8,23.8,0,1
1919,440y M,440y,M,54.2,54.2,54.2,54.2,0,1
1919,discus M,discus,M,1446,1446,1446,1446,0,1
1919,hj M,hj,M,66,66,66,66,0,1
1919,lj M,lj,M,240,240,240,240,0,1
1919,pv M,pv,M,126,126,126,126,0,1
1919,shot M,shot,M,531,531,531,531,0,1
1920,100y M,100y,M,10,10.2,10.1,10.1,0.0816,3
1920,1mile M,1mile,M,276.3,276.3,276.3,276.3,0,1
