Year,Event Name,Event Short Name,Gender,Minimum,Maximum,Mean,Median,Standard Deviation,Sample Size
1915,100m M,100m,M,11.34,11.44,11.415,11.44,0.0433,4
1915,1600m M,1600m,M,268.4,268.4,268.4,268.4,0,1
1915,200m M,200m,M,22.14,22.14,22.14,22.14,0,1
1915,400m M,400m,M,49.84,49.84,49.84,49.84,0,1
1915,discus M,discus,M,18644,18644,18644,18644,0,1
1915,hj M,hj,M,19930.5,19930.5,19930.5,19930.5,0,1
1915,lj M,lj,M,19746,19746,19746,19746,0,1
1915,pv M,pv,M,19862,19862,19862,19862,0,1
1915,shot M,shot,M,19445.62,19445.62,19445.62,19445.62,0,1
1916,100m M,100m,M,11.54,11.54,11.54,11.54,0,1
1916,1600m M,1600m,M,279,279.2,279.1,279.2,0.1,2
1916,200m M,200m,M,22.54,22.54,22.54,22.54,0,1
1916,400m M,400m,M,51.24,51.44,51.34,51.44,0.1,2
1916,discus M,discus,M,18596,18596,18596,18596,0,1
1916,hj M,hj,M,19931.5,19931.5,19931.5,19931.5,0,1
1916,lj M,lj,M,19742.75,19745.5,19744.125,19745.5,1.375,2
1916,pv M,pv,M,19859,19859,19859,19859,0,1
1916,shot M,shot,M,19431.75,19431.75,19431.75,19431.75,0,1
1917,100m M,100m,M,11.14,11.44,11.365,11.44,0.1299,4
1917,1600m M,1600m,M,276,276,276,276,0,1
1917,200m M,200m,M,22.14,22.14,22.14,22.14,0,1
1917,400m M,400m,M,52.84,52.84,52.84,52.84,0,1
1917,discus M,discus,M,18525,18525,18525,18525,0,1
1917,hj M,hj,M,19930.75,19930.75,19930.75,19930.75,0,1
1917,lj M,lj,M,19737.5,19737.5,19737.5,19737.5,0,1
1917,pv M,pv,M,19868,19868,19868,19868,0,1
1917,shot M,shot,M,19426.75,19426.75,19426.75,19426.75,0,1
1918,100m M,100m,M,11.34,11.34,11.34,11.34,0,1
1918,1600m M,1600m,M,282.8,282.8,282.8,282.8,0,1
1918,200m M,200m,M,22.54,22.54,22.54,22.54,0,1
1918,400m M,400m,M,49.44,50.14,49.79,50.14,0.35,2
1918,discus M,discus,M,18630,18630,18630,18630,0,1
1918,hj M,hj,M,19928.25,19928.25,19928.25,19928.25,0,1
1918,lj M,lj,M,19748.75,19748.75,19748.75,19748.75,0,1
1918,pv M,pv,M,19862,19862,19862,19862,0,1
1918,shot M,shot,M,19466,19466,19466,19466,0,1
1919,100m M,100m,M,11.54,11.54,11.54,11.54,0,1
1919,1600m M,1600m,M,285.4,285.4,285.4,285.4,0,1
1919,200m M,200m,M,23.94,23.94,23.94,23.94,0,1
1919,400m M,400m,M,54.04,54.04,54.04,54.04,0,1
1919,discus M,discus,M,18554,18554,18554,18554,0,1
1919,hj M,hj,M,19934,19934,19934,19934,0,1
1919,lj M,lj,M,19760,19760,19760,19760,0,1
1919,pv M,pv,M,19874,19874,19874,19874,0,1
1919,shot M,shot,M,19469,19469,19469,19469,0,1
1920,100m M,100m,M,11.14,11.34,11.24,11.24,0.0816,3
1920,1600m M,1600m,M,274.7,274.7,274.7,274.7,0,1
1920,200m M,200m,M,21.94,21.94,21.94,21.94,0,1
1920,400m M,400m,M,50.04,50.54,50.29,50.54,0.25,2
1920,discus M,discus,M,18456,18456,18456,18456,0,1
1920,hj M,hj,M,19928,19929,19928.5,19929,0.5,2
1920,lj M,lj,M,19738.5,19745.5,19742,19745.5,3.5,2
1920,pv M,pv,M,19858,19864.5,19860.5,19859,2.8577,3
1920,shot M,shot,M,19415,19415,19415,19415,0,1
1921,100m M,100m,M,11.34,11.34,11.34,11.34,0,1
1921,1600m M,1600m,M,268.8,272.5,270.65,272.5,1.85,2
1921,200m M,200m,M,22.74,22.74,22.74,22.74,0,1
1921,400m M,400m,M,52.04,52.04,52.04,52.04,0,1
1921,discus M,discus,M,18375,18375,18375,18375,0,1
1921,hj M,hj,M,19927.5,19930.25,19929.3333,19930.25,1.2964,3
1921,lj M,lj,M,19731.5,19740,19735.75,19740,4.25,2
1921,pv M,pv,M,19856,19856,19856,19856,0,1
1921,shot M,shot,M,19376,19376,19376,19376,0,1
1922,100m M,100m,M,11.54,11.84,11.7,11.64,0.12,5
1922,1600m M,1600m,M,278.4,279.2,278.8,278.8,0.3162,5
1922,200m M,200m,M,24.34,24.34,24.34,24.34,0,1
1922,400m M,400m,M,54.24,54.24,54.24,54.24,0,1
1922,discus M,discus,M,18269,18596,18432.5,18596,163.5,2
1922,hj M,hj,M,19929.75,19929.75,19929.75,19929.75,0,1
1922,lj M,lj,M,19730.75,19734.25,19732.5,19734.25,1.75,2
1922,pv M,pv,M,19856.5,19865,19860.75,19865,4.25,2
1922,shot M,shot,M,19335.75,19335.75,19335.75,19335.75,0,1
1923,100m M,100m,M,11.14,11.24,11.2067,11.24,0.0471,3
1923,1600m M,1600m,M,270,270,270,270,0,1
1923,200m M,200m,M,22.34,22.64,22.49,22.64,0.15,2
1923,400m M,400m,M,53.44,53.44,53.44,53.44,0,1
1923,discus M,discus,M,18520,18520,18520,18520,0,1
1923,hj M,hj,M,19929,19929,19929,19929,0,1
1923,lj M,lj,M,19721.75,19721.75,19721.75,19721.75,0,1
1923,pv M,pv,M,19852.375,19856,19854.1875,19856,1.8125,4
1923,shot M,shot,M,19423.5,19423.5,19423.5,19423.5,0,1
1924,100m M,100m,M,11.24,11.24,11.24,11.24,0,1
1924,1600m M,1600m,M,275.5,275.5,275.5,275.5,0,1
1924,200m M,200m,M,22.64,22.64,22.64,22.64,0,1
1924,400m M,400m,M,51.44,51.44,51.44,51.44,0,1
1924,discus M,discus,M,18505.5,18505.5,18505.5,18505.5,0,1
1924,hj M,hj,M,19926.75,19926.75,19926.75,19926.75,0,1
1924,lj M,lj,M,19732.5,19732.5,19732.5,19732.5,0,1
1924,pv M,pv,M,19844.5,19853,19848.625,19850,3.1893,4
1924,shot M,shot,M,19404.75,19404.75,19404.75,19404.75,0,1
1925,100m M,100m,M,11.24,11.24,11.24,11.24,0,1
1925,1600m M,1600m,M,273.6,274.4,274,274.4,0.4,2
1925,200m M,200m,M,22.74,22.74,22.74,22.74,0,1
1925,400m M,400m,M,50.84,51.24,51.04,51.04,0.1633,3
1925,discus M,discus,M,18481.38,18481.38,18481.38,18481.38,0,1
1925,hj M,hj,M,19926.5,19931.5,19929.8333,19931.5,2.357,3
1925,lj M,lj,M,19739.5,19741,19740.25,19741,0.75,2
1925,pv M,pv,M,19846.38,19856,19852.876,19856,3.9937,5
1925,shot M,shot,M,19410,19410,19410,19410,0,1
1926,100m M,100m,M,10.94,11.14,11.0733,11.14,0.0943,3
1926,1600m M,1600m,M,274.1,274.1,274.1,274.1,0,1
1926,200m M,200m,M,22.24,22.24,22.24,22.24,0,1
