Year,Event Name,Event Short Name,Gender,Minimum,Maximum,Mean,Median,Standard Deviation,Sample Size
1980,3200m F,3200m,F,614.7,648.43,638.1833,637.27,10.0195,9
1981,3200m F,3200m,F,612.31,653.61,633.7311,635.2,11.7064,9
1982,3200m F,3200m,F,616.27,649.42,634.0922,630.9,11.8366,9
1983,3200m F,3200m,F,608.14,664.6,642.4333,644.8,16.5608,9
1984,3200m F,3200m,F,611.62,673.48,648.74,650.08,17.059,8
1985,3200m F,3200m,F,623.85,656,638.2511,640.54,9.3462,9
1986,3200m F,3200m,F,612.86,654.68,637.5989,640.11,13.1695,9
1987,3200m F,3200m,F,623.04,650.8,634.0722,632.77,7.0887,9
1988,3200m F,3200m,F,616.14,661.6,637.6278,631.33,16.7005,9
1989,3200m F,3200m,F,632.95,664.26,645.8867,642.34,10.751,9
1990,3200m F,3200m,F,629.6,667.75,653.5,656.19,10.9856,9
1991,3200m F,3200m,F,630.71,665.29,644.2956,639.17,11.2131,9
1992,3200m F,3200m,F,628.62,664.99,653.21,654.89,11.4875,9
1993,3200m F,3200m,F,642.68,683.74,667.8044,669.3,11.9406,9
1994,3200m F,3200m,F,626.51,659.33,651.94,655.38,9.4444,9
1995,3200m F,3200m,F,615.27,660.08,643.73,646.95,13.4413,9
1996,3200m F,3200m,F,592.8,664.5,643.4844,651.14,23.2282,9
1997,3200m F,3200m,F,615.17,653.05,634.8767,632.68,12.6615,9
1998,3200m F,3200m,F,631.06,655.38,643.4489,645.64,9.3391,9
1999,3200m F,3200m,F,618.81,647.08,637.8467,641.6,8.5733,9
2000,3200m F,3200m,F,618.5,652.92,642.9067,644.58,10.1071,9
2001,3200m F,3200m,F,611.11,655.29,637.9556,642.15,14.821,9
2002,3200m F,3200m,F,631.01,657.18,645.74,644.68,8.2333,9
2003,3200m F,3200m,F,627.32,655.15,642.3767,641.83,7.8461,9
2004,3200m F,3200m,F,626.25,652.09,642.7744,643.38,8.6338,9
2005,3200m F,3200m,F,638.9,651.38,644.9189,645.59,4.3309,9
2006,3200m F,3200m,F,613.55,660.13,639.5078,639.96,15.6644,9
2007,3200m F,3200m,F,606.76,639.9,631.7989,635.55,9.9475,9
2008,3200m F,3200m,F,592.13,647.59,623.7922,627.97,18.1303,9
2009,3200m F,3200m,F,605.29,637.29,627.99,630.7,8.8235,9
2010,3200m F,3200m,F,620.25,644.89,633.1733,632.11,8.1087,9
2011,3200m F,3200m,F,613,629.62,622.8433,622.67,4.5381,9
2012,3200m F,3200m,F,612,638.82,628.7867,629.15,7.1164,9
2013,3200m F,3200m,F,610.71,631.5,625.8711,626.65,5.7239,9
2014,3200m F,3200m,F,600.19,629.71,619.5422,623.1,8.7801,9
2015,3200m F,3200m,F,593.79,625.92,617.7733,623.86,11.104,9
2016,3200m F,3200m,F,612.02,636.51,627.05,626.06,6.8113,9
2017,3200m F,3200m,F,607.33,632.33,624.0311,626.75,7.5467,9
2018,3200m F,3200m,F,610.32,635.26,620.3456,620.34,8.0974,9
2019,3200m F,3200m,F,611.38,635.21,624.1044,623.85,7.3166,9
2022,3200m F,3200m,F,606.89,638.11,624.7844,625.31,11.5124,9
2023,3200m F,3200m,F,602.19,626.68,614.6833,611.56,9.0989,9
2024,3200m F,3200m,F,597.11,624.39,612.5644,615.85,9.2866,9
