Year,Event Name,Event Short Name,Gender,Minimum,Maximum,Mean,Median,Standard Deviation,Sample Size
1915,400m M,400m,M,49.84,49.84,49.84,49.84,0,1
1916,400m M,400m,M,51.24,51.44,51.34,51.44,0.1,2
1917,400m M,400m,M,52.84,52.84,52.84,52.84,0,1
1918,400m M,400m,M,49.44,50.14,49.79,50.14,0.35,2
1919,400m M,400m,M,54.04,54.04,54.04,54.04,0,1
1920,400m M,400m,M,50.04,50.54,50.29,50.54,0.25,2
1921,400m M,400m,M,52.04,52.04,52.04,52.04,0,1
1922,400m M,400m,M,54.24,54.24,54.24,54.24,0,1
1923,400m M,400m,M,53.44,53.44,53.44,53.44,0,1
1924,400m M,400m,M,51.44,51.44,51.44,51.44,0,1
1925,400m M,400m,M,50.84,51.24,51.04,51.04,0.1633,3
1926,400m M,400m,M,49.84,49.84,49.84,49.84,0,1
1927,400m M,400m,M,50.84,50.84,50.84,50.84,0,1
1928,400m M,400m,M,50.04,50.04,50.04,50.04,0,1
1929,400m M,400m,M,49.44,50.24,49.92,49.94,0.2638,5
1930,400m M,400m,M,50.14,50.34,50.2067,50.14,0.0943,3
1931,400m M,400m,M,48.54,48.64,48.59,48.64,0.05,2
1932,400m M,400m,M,49.94,49.94,49.94,49.94,0,1
1933,400m M,400m,M,48.24,50.04,49.36,49.54,0.6177,5
1934,400m M,400m,M,50.14,50.24,50.19,50.24,0.05,2
1935,400m M,400m,M,48.74,48.74,48.74,48.74,0,1
1936,400m M,400m,M,49.74,49.74,49.74,49.74,0,1
1937,400m M,400m,M,49.54,49.84,49.69,49.84,0.15,2
1938,400m M,400m,M,50.24,50.64,50.44,50.44,0.1414,5
1939,400m M,400m,M,50.34,50.34,50.34,50.34,0,1
1940,400m M,400m,M,48.64,48.84,48.74,48.84,0.1,2
1941,400m M,400m,M,49.74,49.84,49.79,49.84,0.05,2
1946,400m M,400m,M,49.14,49.54,49.34,49.54,0.2,2
1947,400m M,400m,M,49.24,49.54,49.39,49.54,0.15,2
1948,400m M,400m,M,49.04,50.34,49.69,50.24,0.6021,4
1949,400m M,400m,M,49.14,50.24,49.76,49.94,0.44,5
1950,400m M,400m,M,48.64,49.54,49.14,49.54,0.4062,4
1951,400m M,400m,M,49.54,49.54,49.54,49.54,0,2
1952,400m M,400m,M,48.64,50.04,49.3733,49.54,0.4714,6
1953,400m M,400m,M,49.04,50.14,49.66,50.04,0.5075,5
1954,400m M,400m,M,48.54,49.64,48.9067,48.84,0.3496,6
1955,400m M,400m,M,48.54,49.84,49.16,49.14,0.5192,5
1956,400m M,400m,M,46.54,48.64,47.8622,48.04,0.6196,9
1957,400m M,400m,M,47.74,48.54,48.24,48.44,0.3347,5
1958,400m M,400m,M,48.44,49.44,48.8733,48.94,0.3249,6
1959,400m M,400m,M,48.44,49.14,48.8,48.84,0.2728,5
1960,400m M,400m,M,47.04,48.94,48.04,48.04,0.6325,8
1961,400m M,400m,M,47.64,50.34,49.2067,49.14,0.9043,9
1962,400m M,400m,M,47.94,48.84,48.3511,48.24,0.2998,9
1963,400m M,400m,M,47.14,48.64,48.0775,48.44,0.5146,8
1964,400m M,400m,M,47.34,48.64,48.1025,48.24,0.4121,8
1965,400m M,400m,M,47.24,48.24,47.6567,47.64,0.3184,6
1966,400m M,400m,M,47.64,48.64,48.0114,48.04,0.3239,7
1967,400m M,400m,M,47.04,49.14,48.0525,48.14,0.666,8
1968,400m M,400m,M,46.54,48.74,47.59,47.64,0.7331,8
1969,400m M,400m,M,46.44,48.24,47.6114,47.74,0.5548,7
1970,400m M,400m,M,47.64,49.34,48.4511,48.54,0.4976,9
1971,400m M,400m,M,46.54,47.34,47.0067,47.14,0.2449,9
1972,400m M,400m,M,47.24,48.84,47.9829,47.74,0.5039,7
1973,400m M,400m,M,46.84,50.04,48.54,48.44,0.8273,9
1974,400m M,400m,M,47.54,49.04,48.3956,48.34,0.4717,9
1975,400m M,400m,M,47.04,48.44,47.7733,48.04,0.4749,6
1976,400m M,400m,M,47.44,50.94,48.765,48.84,0.9884,8
1977,400m M,400m,M,46.3,49.94,48.0878,48.05,1.0582,9
1978,400m M,400m,M,46.47,50.34,47.9744,47.78,1.1232,9
1979,400m M,400m,M,46.98,48.5,47.914,48.14,0.578,5
1980,400m M,400m,M,47.51,48.93,48.0963,47.96,0.4622,8
1981,400m M,400m,M,47.09,48.82,47.7633,47.77,0.4829,9
1982,400m M,400m,M,46.38,49.88,47.9037,48.19,0.9868,8
1983,400m M,400m,M,47.03,49.54,47.9278,47.78,0.7159,9
1984,400m M,400m,M,46.82,51.39,48.4387,48.51,1.2655,8
1985,400m M,400m,M,45.84,49.34,47.9833,48.29,1.0902,9
1986,400m M,400m,M,46.59,49.26,47.8244,47.8,0.7302,9
1987,400m M,400m,M,46.84,49.04,47.94,47.94,0.6992,9
1988,400m M,400m,M,47.2,49.49,48.2111,48.03,0.6851,9
1989,400m M,400m,M,47.52,49.27,48.6125,48.82,0.6156,8
1990,400m M,400m,M,47.54,48.85,48.0763,48.13,0.4007,8
1991,400m M,400m,M,47.21,48.93,48.1671,48.3,0.6554,7
1992,400m M,400m,M,46.95,49.54,48.3263,48.41,0.8584,8
1993,400m M,400m,M,45.25,49.23,47.91,48.38,1.1851,8
1994,400m M,400m,M,46.96,49.38,47.8367,47.56,0.7956,9
1995,400m M,400m,M,46.08,49.89,47.8311,47.8,1.0731,9
1996,400m M,400m,M,45.81,48.39,47.4522,47.46,0.7302,9
