Year,Event Name,Event Short Name,Gender,Minimum,Maximum,Mean,Median,Standard Deviation,Sample Size
1976,discus F,discus,F,18387,18717,18550.8889,18594,101.9166,9
1977,discus F,discus,F,18356,18591,18477.5556,18453,78.9995,9
1978,discus F,discus,F,18209,18589,18443.2222,18500,129.9998,9
1979,discus F,discus,F,17995,18501,18325.4444,18375,140.5767,9
1980,discus F,discus,F,17925,18525,18297.25,18323,180.7946,8
1981,discus F,discus,F,18046,18433,18293.5556,18325,123.7965,9
1982,discus F,discus,F,18078,18439,18278.875,18352,118.7691,8
1983,discus F,discus,F,17960,18523,18309.3333,18332,178.3567,9
1984,discus F,discus,F,18091,18598,18361.25,18372,142.7461,8
1985,discus F,discus,F,18054,18353,18259.8889,18292,80.2018,9
1986,discus F,discus,F,18126,18498,18326.7778,18388,127.4988,9
1987,discus F,discus,F,18251,18583,18413.7778,18408,111.2143,9
1988,discus F,discus,F,18085,18373,18225.2222,18234,88.7453,9
1989,discus F,discus,F,17984,18476,18219,18223,143.0656,9
1990,discus F,discus,F,17961,18399,18261,18292,136.5845,9
1991,discus F,discus,F,18069,18442,18299.8889,18293,113.7125,9
1992,discus F,discus,F,17964,18603,18353.2222,18404,172.5423,9
1993,discus F,discus,F,17973,18669,18294.4444,18266,196.2793,9
1994,discus F,discus,F,17910,18349,18234.25,18286,136.8126,8
1995,discus F,discus,F,18170,18533,18332.1111,18313,125.1279,9
1996,discus F,discus,F,18100,18359,18251.4444,18287,90.5589,9
1997,discus F,discus,F,17875,18415,18184.6667,18233,173.7975,9
1998,discus F,discus,F,17825,18478,18194.8889,18252,218.3918,9
1999,discus F,discus,F,18154,18527,18314.1111,18280,136.396,9
2000,discus F,discus,F,18187,18399,18297.1111,18313,76.663,9
2001,discus F,discus,F,18047,18344,18202.8889,18209,122.4431,9
2002,discus F,discus,F,17912,18405,18185.6667,18195,153.3587,9
2003,discus F,discus,F,17908,18390,18177.7778,18186,139.7814,9
2004,discus F,discus,F,17999,18379,18282.5556,18321,107.9692,9
2005,discus F,discus,F,18101,18395,18260.75,18310,94.7691,8
2006,discus F,discus,F,18104,18463,18293.1111,18265,98.1682,9
2007,discus F,discus,F,18085,18404,18224.2222,18172,115.2435,9
2008,discus F,discus,F,17968,18456,18226.5556,18209,145.555,9
2009,discus F,discus,F,18043,18472,18331.4286,18358,125.8433,7
2010,discus F,discus,F,17951,18371,18219.8889,18289,139.234,9
2011,discus F,discus,F,18156,18493,18327.8889,18352,113.37,9
2012,discus F,discus,F,18130,18403,18290.7778,18295,96.0368,9
2013,discus F,discus,F,17915,18394,18254,18297,135.708,9
2014,discus F,discus,F,18037,18412,18276,18299,100.5816,9
2015,discus F,discus,F,18059,18353,18217.7778,18221,88.3488,9
2016,discus F,discus,F,18031,18324,18214.8889,18243,94.6214,9
2017,discus F,discus,F,17868,18282,18093.3333,18120,148.0105,9
2018,discus F,discus,F,17903,18309,18125.1111,18096,124.5047,9
2019,discus F,discus,F,17938,18302,18168.2222,18222,125.6139,9
2022,discus F,discus,F,18115,18473,18258.4444,18245,122.4519,9
2023,discus F,discus,F,17990,18453,18214.5556,18217,140.6644,9
2024,discus F,discus,F,18094,18402,18277.7778,18292,102.2174,9
