Year,Event Name,Event Short Name,Gender,Minimum,Maximum,Mean,Median,Standard Deviation,Sample Size
1915,discus M,discus,M,18644,18644,18644,18644,0,1
1916,discus M,discus,M,18596,18596,18596,18596,0,1
1917,discus M,discus,M,18525,18525,18525,18525,0,1
1918,discus M,discus,M,18630,18630,18630,18630,0,1
1919,discus M,discus,M,18554,18554,18554,18554,0,1
1920,discus M,discus,M,18456,18456,18456,18456,0,1
1921,discus M,discus,M,18375,18375,18375,18375,0,1
1922,discus M,discus,M,18269,18596,18432.5,18596,163.5,2
1923,discus M,discus,M,18520,18520,18520,18520,0,1
1924,discus M,discus,M,18505.5,18505.5,18505.5,18505.5,0,1
1925,discus M,discus,M,18481.38,18481.38,18481.38,18481.38,0,1
1926,discus M,discus,M,18632,18632,18632,18632,0,1
1927,discus M,discus,M,18371,18371,18371,18371,0,1
1928,discus M,discus,M,18379,18566,18472.5,18566,93.5,2
1929,discus M,discus,M,18383.5,18549.25,18473.15,18497.25,59.6763,5
1930,discus M,discus,M,18434.75,18434.75,18434.75,18434.75,0,1
1931,discus M,discus,M,18414.5,18414.5,18414.5,18414.5,0,1
1932,discus M,discus,M,18428.5,18524,18476.1667,18476,38.9879,3
1936,discus M,discus,M,17526,17526,17526,17526,0,1
1938,discus M,discus,M,17678,17804,17764.4375,17802.75,51.4242,4
1949,discus M,discus,M,18258,18471.5,18324.05,18298.5,75.4524,5
1950,discus M,discus,M,18258.75,18532,18427.85,18470,107.1538,5
1951,discus M,discus,M,18015,18348.12,18155.5617,18144,128.4908,6
1959,discus M,discus,M,17887,18096,18009.3333,18081.5,83.0781,6
1960,discus M,discus,M,17856,18101.5,17988,18068,96.1843,6
1961,discus M,discus,M,17737.5,18176,17995.9167,18081,149.9868,6
1962,discus M,discus,M,17768.5,18335,18076.3889,18037.5,189.5745,9
1963,discus M,discus,M,17863,18209,18038.5625,18055.5,124.1175,8
1964,discus M,discus,M,17826,18066,17957.25,17948,77.4528,8
1965,discus M,discus,M,17932.5,18322,18062.2778,18051,111.0087,9
1966,discus M,discus,M,17731,18151,17931.1111,17963,119.9483,9
1967,discus M,discus,M,17862,18163,17983.2778,17925.5,98.2344,9
1968,discus M,discus,M,17793,18019,17932.4444,17983,88.7395,9
1969,discus M,discus,M,17744,18032,17913.8889,17934,98.9315,9
1970,discus M,discus,M,17585,18122,17889.5556,17867,155.9922,9
1971,discus M,discus,M,17792,18011,17912.8889,17911,74.9377,9
1972,discus M,discus,M,17770,18053,17890.4444,17876,79.4049,9
1973,discus M,discus,M,17655,17921,17817,17822,82.5052,9
1974,discus M,discus,M,17684,18081,17919.7778,17966,126.6015,9
1975,discus M,discus,M,17937,18101,18011.3333,17991,61.9193,9
1976,discus M,discus,M,17686,18037,17862.5556,17921,113.0714,9
1977,discus M,discus,M,17720,18193,17888.375,17885,151.1266,8
1978,discus M,discus,M,17607,18028,17918,17964,123.9254,8
1979,discus M,discus,M,17849,18090,17982.1111,18005,72.9908,9
1980,discus M,discus,M,17687,17964,17851.25,17893,84.3412,8
1981,discus M,discus,M,17830,18117,17938.6667,17900,94.9667,9
1982,discus M,discus,M,17707,18120,17884.3333,17895,136.018,9
1983,discus M,discus,M,17800,18622,18053.625,18036,234.2045,8
1984,discus M,discus,M,17769,18111,17911.875,17902,133.9836,8
