Year,Event Name,Event Short Name,Gender,Minimum,Maximum,Mean,Median,Standard Deviation,Sample Size
1974,hj F,hj,F,19932,19942,19937.6667,19936,3.7118,9
1975,hj F,hj,F,19932,19939,19935.6667,19936,2.2111,9
1976,hj F,hj,F,19930,19936,19933.6667,19933,2.2608,9
1977,hj F,hj,F,19931,19935,19933,19933,1.3333,9
1978,hj F,hj,F,19929.75,19934,19932.75,19933,1.453,9
1979,hj F,hj,F,19931,19934,19932.2222,19932,1.0304,9
1980,hj F,hj,F,19928,19934,19932,19933,2.0548,9
1981,hj F,hj,F,19930,19938,19933.5556,19934,2.4088,9
1982,hj F,hj,F,19929,19934,19932.1111,19933,1.7916,9
1983,hj F,hj,F,19927,19934,19932,19932,2.1082,9
1984,hj F,hj,F,19926.75,19933,19930.7188,19931,1.918,8
1985,hj F,hj,F,19926,19936,19932.5556,19933,3.4996,9
1986,hj F,hj,F,19930,19938,19934,19934,2.2608,9
1987,hj F,hj,F,19930,19934,19932.1111,19932,1.0999,9
1988,hj F,hj,F,19930,19936,19932.8889,19932,2.1315,9
1989,hj F,hj,F,19928,19936,19932.3333,19932,2.7487,9
1990,hj F,hj,F,19932,19938,19933.8889,19933,1.7916,9
1991,hj F,hj,F,19929,19938,19932.7778,19933,2.5724,9
1992,hj F,hj,F,19930,19936,19933.6667,19934,2.4944,9
1993,hj F,hj,F,19930,19938,19932.875,19932,2.7128,8
1994,hj F,hj,F,19930,19936,19932.2222,19932,2.0428,9
1995,hj F,hj,F,19928,19938,19932.4444,19932,2.7532,9
1996,hj F,hj,F,19930,19938,19934,19934,3,8
1997,hj F,hj,F,19931,19938,19934.1111,19934,1.9116,9
1998,hj F,hj,F,19932,19936,19933.3333,19934,1.3333,9
1999,hj F,hj,F,19931,19938,19933.8889,19934,1.9689,9
2000,hj F,hj,F,19931,19934,19932.2222,19932,1.0304,9
2001,hj F,hj,F,19930,19938,19933.1111,19932,2.1315,9
2002,hj F,hj,F,19929,19937,19932.7778,19933,3.3259,9
2003,hj F,hj,F,19930,19936,19932.8889,19934,1.9116,9
2004,hj F,hj,F,19930.75,19935,19932.8611,19933,1.3287,9
2005,hj F,hj,F,19931,19937,19933.1111,19933,2.0245,9
2006,hj F,hj,F,19931,19937,19934.5556,19935,1.8325,9
2007,hj F,hj,F,19930,19937,19933.7778,19935,2.4845,9
2008,hj F,hj,F,19929,19937,19932.7778,19931,2.7397,9
2009,hj F,hj,F,19932,19936,19934,19934,1.3333,9
2010,hj F,hj,F,19930,19936,19933.1111,19934,1.663,9
2011,hj F,hj,F,19932,19938,19935.5,19936,1.6583,8
2012,hj F,hj,F,19930,19935,19933.3056,19933,1.8019,9
2013,hj F,hj,F,19927.25,19934,19932.3611,19934,2.2457,9
2014,hj F,hj,F,19930,19934,19932.6667,19934,1.633,9
2015,hj F,hj,F,19931,19937,19933.8889,19933,1.663,9
2016,hj F,hj,F,19931,19937,19934.5556,19935,1.5713,9
2017,hj F,hj,F,19932,19934,19933.1111,19934,0.9938,9
2018,hj F,hj,F,19930,19934,19932,19932,1.3333,9
2019,hj F,hj,F,19932,19937,19934.3333,19935,1.4142,9
2022,hj F,hj,F,19934,19936,19935.3333,19936,0.9428,9
2023,hj F,hj,F,19930,19936,19933,19934,2.2111,9
2024,hj F,hj,F,19932,19935,19933.8889,19935,1.2862,9
