Year,Event Name,Event Short Name,Gender,Minimum,Maximum,Mean,Median,Standard Deviation,Sample Size
1915,hj M,hj,M,19930.5,19930.5,19930.5,19930.5,0,1
1916,hj M,hj,M,19931.5,19931.5,19931.5,19931.5,0,1
1917,hj M,hj,M,19930.75,19930.75,19930.75,19930.75,0,1
1918,hj M,hj,M,19928.25,19928.25,19928.25,19928.25,0,1
1919,hj M,hj,M,19934,19934,19934,19934,0,1
1920,hj M,hj,M,19928,19929,19928.5,19929,0.5,2
1921,hj M,hj,M,19927.5,19930.25,19929.3333,19930.25,1.2964,3
1922,hj M,hj,M,19929.75,19929.75,19929.75,19929.75,0,1
1923,hj M,hj,M,19929,19929,19929,19929,0,1
1924,hj M,hj,M,19926.75,19926.75,19926.75,19926.75,0,1
1925,hj M,hj,M,19926.5,19931.5,19929.8333,19931.5,2.357,3
1926,hj M,hj,M,19929,19929,19929,19929,0,2
1927,hj M,hj,M,19927.25,19927.25,19927.25,19927.25,0,1
1928,hj M,hj,M,19925.75,19925.75,19925.75,19925.75,0,2
1929,hj M,hj,M,19923.75,19932,19928.55,19930,3.5086,5
1930,hj M,hj,M,19927.5,19929,19928.7,19929,0.6,5
1931,hj M,hj,M,19923.5,19929,19925.6667,19926,1.9508,6
1932,hj M,hj,M,19925,19926,19925.6667,19926,0.4714,3
1933,hj M,hj,M,19922.25,19931,19927.6071,19927,3.2289,7
1934,hj M,hj,M,19922.125,19926,19924.825,19925,1.4221,5
1935,hj M,hj,M,19926,19929,19927.5714,19927,1.0498,7
1936,hj M,hj,M,19924.25,19926,19925.375,19926,0.7181,4
1937,hj M,hj,M,19924,19927,19925.6,19925,1.2,5
1938,hj M,hj,M,19920.875,19927,19925.775,19927,2.45,5
1939,hj M,hj,M,19923.5,19928,19926.1,19926,1.7436,5
1940,hj M,hj,M,19923.5,19923.5,19923.5,19923.5,0,1
1941,hj M,hj,M,19927,19930,19928.5,19928.5,0.9487,5
1946,hj M,hj,M,19926,19928,19926.6667,19926,0.9428,3
1947,hj M,hj,M,19928,19930,19929.1111,19930,0.9938,9
1948,hj M,hj,M,19925,19930,19927.3333,19928,1.8257,9
1949,hj M,hj,M,19925,19928,19926.8571,19927,1.1249,7
1950,hj M,hj,M,19926,19928,19927.3333,19928,0.8165,9
1951,hj M,hj,M,19922.62,19928,19925.0886,19925,1.4447,7
1952,hj M,hj,M,19922.5,19927.5,19925.8333,19926.5,1.8257,9
1953,hj M,hj,M,19924,19927,19926.375,19927,0.9922,8
1954,hj M,hj,M,19922.5,19928,19926.6111,19928,1.9405,9
1955,hj M,hj,M,19918.62,19925,19923.1033,19924,2.1649,6
1956,hj M,hj,M,19924.75,19926,19925.5,19926,0.6124,5
1957,hj M,hj,M,19920,19926,19924.5556,19925,1.8922,9
1958,hj M,hj,M,19920,19932,19924.4286,19923,4.4032,7
1959,hj M,hj,M,19920.75,19925.75,19923.875,19925.75,2.0272,8
1960,hj M,hj,M,19921.75,19926,19923.4722,19922.75,1.5067,9
1961,hj M,hj,M,19919.75,19926,19923.4167,19924,1.8856,9
1962,hj M,hj,M,19920.5,19923,19922.1667,19923,1.1785,9
1963,hj M,hj,M,19920,19926,19924.1111,19926,2.4242,9
1964,hj M,hj,M,19920.75,19922.25,19921.3929,19920.75,0.7423,7
1965,hj M,hj,M,19919.5,19922.5,19921.3333,19921.5,0.8975,6
1966,hj M,hj,M,19918,19924,19920.6667,19922,2.1082,9
