Year,Event Name,Event Short Name,Gender,Minimum,Maximum,Mean,Median,Standard Deviation,Sample Size
1974,lj F,lj,F,19765,19815.5,19798.2778,19801,14.9111,9
1975,lj F,lj,F,19765.5,19807.75,19789.1667,19789,12.2213,9
1976,lj F,lj,F,19759.75,19793.75,19777.7778,19778.25,10.42,9
1977,lj F,lj,F,19763,19781.5,19773.9444,19775.75,5.4731,9
1978,lj F,lj,F,19769,19796,19779.2222,19777.5,8.6774,9
1979,lj F,lj,F,19755.5,19793.5,19776.4167,19773,11.4078,9
1980,lj F,lj,F,19751.75,19784.75,19774.4583,19779.5,11.1106,6
1981,lj F,lj,F,19773.75,19818.25,19784.9722,19780,12.7793,9
1982,lj F,lj,F,19761.5,19791,19774.4444,19772.75,9.2344,9
1983,lj F,lj,F,19766,19801,19780.2222,19782.25,12.6642,9
1984,lj F,lj,F,19750.25,19795.25,19770.5938,19770.75,13.8378,8
1985,lj F,lj,F,19771,19793.5,19783.4167,19783.75,7.4021,9
1986,lj F,lj,F,19755.25,19790.5,19777.4722,19778.75,9.9516,9
1987,lj F,lj,F,19770.5,19799,19781.0938,19785,9.5786,8
1988,lj F,lj,F,19766.25,19786,19779.7778,19782.25,6.3928,9
1989,lj F,lj,F,19757.75,19793,19778.3889,19778.75,10.4796,9
1990,lj F,lj,F,19758.5,19794.5,19780.4444,19784.75,11.0018,9
1991,lj F,lj,F,19752.5,19790.75,19776.3333,19776,10.1919,9
1992,lj F,lj,F,19753.75,19814.75,19777,19775.25,16.4173,9
1993,lj F,lj,F,19735.5,19788,19771.2813,19775.75,14.5974,8
1994,lj F,lj,F,19764.5,19787.5,19775.0556,19772.5,7.5155,9
1995,lj F,lj,F,19752,19786.5,19770.9722,19773.25,10.5774,9
1996,lj F,lj,F,19757,19783,19770.6563,19770.75,7.6984,8
1997,lj F,lj,F,19759.25,19789.75,19774.75,19774,8.7892,9
1998,lj F,lj,F,19764.25,19789,19776.4375,19777.5,7.0575,8
1999,lj F,lj,F,19763.25,19784.75,19773.75,19774.75,5.7807,9
2000,lj F,lj,F,19764.75,19796,19779.2222,19777,10.3551,9
2001,lj F,lj,F,19754.5,19776.75,19764.2222,19767,8.1806,9
2002,lj F,lj,F,19763.75,19787.25,19775.5556,19776.5,7.2589,9
2003,lj F,lj,F,19751.75,19787.25,19772.5,19775.25,11.3372,8
2004,lj F,lj,F,19752.25,19789.25,19771.2778,19773.25,11.5599,9
2005,lj F,lj,F,19751.75,19785.5,19768.8333,19765.75,10.0568,9
2006,lj F,lj,F,19761.75,19792,19777.2778,19780.25,11.6836,9
2007,lj F,lj,F,19748.25,19776.25,19765.5833,19772.25,10.8006,9
2008,lj F,lj,F,19759.75,19786.25,19773.4444,19771.5,8.2637,9
2009,lj F,lj,F,19756.75,19783,19771.3333,19771.75,8.7583,9
2010,lj F,lj,F,19754.25,19779,19769.7778,19770.25,7.6707,9
2011,lj F,lj,F,19760.25,19794,19780.4444,19781.75,10.5434,9
2012,lj F,lj,F,19757,19779.75,19769.5,19773.75,7.8537,9
2013,lj F,lj,F,19750.75,19780,19768.0278,19771,9.0204,9
2014,lj F,lj,F,19755.25,19783.5,19769.1111,19766.5,9.4171,9
2015,lj F,lj,F,19750,19783.25,19769.8611,19773.25,10.4974,9
2016,lj F,lj,F,19752.5,19779.25,19766.25,19765.25,8.8726,9
2017,lj F,lj,F,19734.75,19780.25,19767.0833,19771.5,13.3036,9
2018,lj F,lj,F,19762.25,19782.5,19773.4722,19773.5,6.3041,9
2019,lj F,lj,F,19751.5,19777.75,19766.1667,19765.25,7.7746,9
2022,lj F,lj,F,19751.5,19777.25,19766.0278,19766.5,8.0841,9
2023,lj F,lj,F,19752.25,19781.25,19764.3611,19762.5,8.2782,9
2024,lj F,lj,F,19754.75,19781,19772.0278,19772,7.877,9
