Year,Event Name,Event Short Name,Gender,Minimum,Maximum,Mean,Median,Standard Deviation,Sample Size
1915,lj M,lj,M,19746,19746,19746,19746,0,1
1916,lj M,lj,M,19742.75,19745.5,19744.125,19745.5,1.375,2
1917,lj M,lj,M,19737.5,19737.5,19737.5,19737.5,0,1
1918,lj M,lj,M,19748.75,19748.75,19748.75,19748.75,0,1
1919,lj M,lj,M,19760,19760,19760,19760,0,1
1920,lj M,lj,M,19738.5,19745.5,19742,19745.5,3.5,2
1921,lj M,lj,M,19731.5,19740,19735.75,19740,4.25,2
1922,lj M,lj,M,19730.75,19734.25,19732.5,19734.25,1.75,2
1923,lj M,lj,M,19721.75,19721.75,19721.75,19721.75,0,1
1924,lj M,lj,M,19732.5,19732.5,19732.5,19732.5,0,1
1925,lj M,lj,M,19739.5,19741,19740.25,19741,0.75,2
1926,lj M,lj,M,19731,19731,19731,19731,0,1
1927,lj M,lj,M,19734,19738.5,19736.25,19738.5,2.25,2
1928,lj M,lj,M,19718.75,19718.75,19718.75,19718.75,0,1
1929,lj M,lj,M,19728.75,19744.75,19735.75,19735.5,6.3344,5
1930,lj M,lj,M,19721.37,19722.5,19721.935,19722.5,0.565,2
1931,lj M,lj,M,19721.75,19721.75,19721.75,19721.75,0,1
1932,lj M,lj,M,19725.5,19735,19730.8333,19732,3.9651,3
1933,lj M,lj,M,19728,19744.5,19737.4,19738,5.49,5
1934,lj M,lj,M,19715.5,19729,19721.8,19720.75,4.6136,5
1935,lj M,lj,M,19723.75,19731.5,19727.8,19728.5,2.8957,5
1936,lj M,lj,M,19722.25,19728,19725.125,19728,2.875,2
1937,lj M,lj,M,19723,19735.5,19730.8,19732.25,4.2172,5
1938,lj M,lj,M,19716.875,19732,19724.1563,19730.5,7.1148,4
1939,lj M,lj,M,19711.5,19732.5,19722.95,19724.5,8.8465,5
1940,lj M,lj,M,19733.5,19733.5,19733.5,19733.5,0,1
1941,lj M,lj,M,19718.25,19738,19727.2,19723.75,8.0303,5
1946,lj M,lj,M,19733.75,19733.75,19733.75,19733.75,0,1
1947,lj M,lj,M,19725.5,19740,19734.55,19738.5,5.8318,5
1948,lj M,lj,M,19721.75,19743,19731.36,19729.5,6.6021,9
1949,lj M,lj,M,19717.75,19737.5,19727.85,19730.25,7.146,5
1950,lj M,lj,M,19709.25,19735.5,19718.948,19718.62,9.2855,5
1951,lj M,lj,M,19730.25,19743.75,19735.65,19733.25,4.8698,5
1952,lj M,lj,M,19718.75,19745.5,19730.6944,19729.25,7.5081,9
1953,lj M,lj,M,19719,19742,19728.375,19728.75,8.5254,6
1954,lj M,lj,M,19695.75,19736,19724.9167,19728,11.8638,9
1955,lj M,lj,M,19720.5,19727.75,19722.8,19722.25,2.6192,5
1956,lj M,lj,M,19703,19712.5,19709.1,19709.5,3.3489,5
1957,lj M,lj,M,19715.5,19730.5,19723.8611,19724.5,5.3879,9
1958,lj M,lj,M,19706,19729,19719.9286,19721.75,6.4914,7
1959,lj M,lj,M,19718.25,19750,19732.25,19729.75,12.0597,8
1960,lj M,lj,M,19716.75,19747,19730.2222,19727.25,9.6964,9
1961,lj M,lj,M,19709,19735.5,19722.0556,19719.5,8.2863,9
1962,lj M,lj,M,19706.25,19725,19716.7778,19717,6.3426,9
1963,lj M,lj,M,19708.5,19724,19716.0938,19718,5.5887,8
1964,lj M,lj,M,19697,19723,19713.4722,19714.25,7.4939,9
1965,lj M,lj,M,19702.75,19722.75,19714.125,19717,6.6262,8
1966,lj M,lj,M,19696.75,19722,19711.0714,19707.75,8.631,7
1967,lj M,lj,M,19695.75,19729.5,19717.8611,19717.75,9.406,9
1968,lj M,lj,M,19705,19724.75,19715.25,19714,7.2677,9
1969,lj M,lj,M,19709.75,19732.25,19723.6944,19724.25,5.9893,9
1970,lj M,lj,M,19709.25,19733.5,19721.0556,19722,7.9257,9
1971,lj M,lj,M,19684.25,19724.5,19711.8333,19717.5,13.1032,9
1972,lj M,lj,M,19705,19722,19715.0556,19717.5,5.7286,9
1973,lj M,lj,M,19695.5,19731.75,19714.1111,19719.75,13.211,9
1974,lj M,lj,M,19708.5,19722.75,19713.6389,19712.75,4.0089,9
1975,lj M,lj,M,19703.75,19738.5,19724.1389,19724.5,10.8321,9
1976,lj M,lj,M,19696.25,19737.5,19720.6667,19721.75,11.8486,9
1977,lj M,lj,M,19699.25,19727.75,19712.8611,19711.5,9.8532,9
1978,lj M,lj,M,19698.75,19733.5,19714.3889,19716.5,11.0322,9
1979,lj M,lj,M,19710.75,19748.75,19724.5833,19722.75,10.2103,9
1980,lj M,lj,M,19719.25,19729.5,19722.75,19722.75,3.1082,7
1981,lj M,lj,M,19699.5,19733.25,19717.6786,19719,10.5591,7
1982,lj M,lj,M,19707.25,19735.75,19724.3889,19727.75,9.0998,9
1983,lj M,lj,M,19705.5,19742.25,19722.25,19722.5,10.7186,9
1984,lj M,lj,M,19701,19733.75,19721.625,19723.75,9.7972,8
1985,lj M,lj,M,19708.5,19724.5,19715.9722,19715,5.7487,9
1986,lj M,lj,M,19714,19755,19726.6111,19725.5,11.5429,9
1987,lj M,lj,M,19705.5,19733.75,19721.6667,19724,9.7824,9
1988,lj M,lj,M,19706.5,19727.5,19720.9722,19724.25,6.5239,9
1989,lj M,lj,M,19683.25,19722.75,19711.3056,19712.5,12.0334,9
1990,lj M,lj,M,19696.75,19733.75,19718.7143,19722.5,11.303,7
