Year,Event Name,Event Short Name,Gender,Minimum,Maximum,Mean,Median,Standard Deviation,Sample Size
1995,pv F,pv,F,19850,19882,19873.5,19878,9.4736,8
1996,pv F,pv,F,19854.75,19874,19867.5357,19868,6.6981,7
1997,pv F,pv,F,19856,19876,19864,19864,5.6569,9
1998,pv F,pv,F,19848,19870,19860.8889,19864,7.6659,9
1999,pv F,pv,F,19847.75,19872,19860.6389,19862,7.2907,9
2000,pv F,pv,F,19852,19876,19862.6667,19860,7.4833,9
2001,pv F,pv,F,19836,19865,19854.625,19859,8.0613,8
2002,pv F,pv,F,19841,19859,19853.6667,19853,5.9628,9
2003,pv F,pv,F,19839,19860,19851.4444,19852,5.7176,9
2004,pv F,pv,F,19848,19868.25,19859.0556,19862.25,6.5773,9
2005,pv F,pv,F,19840,19862,19852.6667,19852,7.8316,9
2006,pv F,pv,F,19841,19865,19853,19853,6.9282,9
2007,pv F,pv,F,19831,19858,19851,19852,8.4853,9
2008,pv F,pv,F,19850,19868,19858.6667,19862,8.0554,9
2009,pv F,pv,F,19840,19864,19855.3333,19858,6.9921,9
2010,pv F,pv,F,19838,19859,19853.3333,19853,6.6999,9
2011,pv F,pv,F,19838,19862,19854.6667,19856,7.1802,9
2012,pv F,pv,F,19839.75,19858,19848.3056,19843.75,6.4245,9
2013,pv F,pv,F,19840.25,19862.25,19851,19850,6.7515,9
2014,pv F,pv,F,19843.75,19863.75,19856.3611,19858,5.935,9
2015,pv F,pv,F,19841,19859,19850.3333,19847,6.9921,9
2016,pv F,pv,F,19830,19860,19848.6667,19854,10.7497,9
2017,pv F,pv,F,19832,19856,19846,19850,6.9282,9
2018,pv F,pv,F,19850,19862,19854,19856,4,9
2019,pv F,pv,F,19840,19854,19847.1111,19848,4.4333,9
2022,pv F,pv,F,19835,19851,19844.3333,19847,6.7987,9
2023,pv F,pv,F,19839,19857,19847.6667,19847,5.164,9
2024,pv F,pv,F,19835,19857,19847.2222,19847,6.2854,9
