Year,Event Name,Event Short Name,Gender,Minimum,Maximum,Mean,Median,Standard Deviation,Sample Size
1915,pv M,pv,M,19862,19862,19862,19862,0,1
1916,pv M,pv,M,19859,19859,19859,19859,0,1
1917,pv M,pv,M,19868,19868,19868,19868,0,1
1918,pv M,pv,M,19862,19862,19862,19862,0,1
1919,pv M,pv,M,19874,19874,19874,19874,0,1
1920,pv M,pv,M,19858,19864.5,19860.5,19859,2.8577,3
1921,pv M,pv,M,19856,19856,19856,19856,0,1
1922,pv M,pv,M,19856.5,19865,19860.75,19865,4.25,2
1923,pv M,pv,M,19852.375,19856,19854.1875,19856,1.8125,4
1924,pv M,pv,M,19844.5,19853,19848.625,19850,3.1893,4
1925,pv M,pv,M,19846.38,19856,19852.876,19856,3.9937,5
1926,pv M,pv,M,19852,19852,19852,19852,0,4
1927,pv M,pv,M,19856,19856,19856,19856,0,1
1928,pv M,pv,M,19846.5,19853,19849.75,19853,3.25,2
1929,pv M,pv,M,19850,19850,19850,19850,0,1
1930,pv M,pv,M,19850,19856,19854.8,19856,2.4,5
1931,pv M,pv,M,19847.75,19847.75,19847.75,19847.75,0,2
1932,pv M,pv,M,19844,19850,19848,19850,2.8284,6
1933,pv M,pv,M,19849,19856,19853.5,19856,2.6926,6
1934,pv M,pv,M,19846,19849,19847.2,19846,1.4697,5
1935,pv M,pv,M,19845.5,19858,19854,19858,4.5894,8
1936,pv M,pv,M,19845,19850,19848,19847,1.8516,7
1937,pv M,pv,M,19842.75,19850,19848.7917,19850,2.7019,6
1938,pv M,pv,M,19845.25,19850,19847.7,19848,2.1296,5
1939,pv M,pv,M,19840.25,19848.75,19845.35,19848.75,4.1641,5
1940,pv M,pv,M,19844,19847,19845.8,19847,1.4697,5
1941,pv M,pv,M,19850,19856,19853.4286,19856,2.9692,7
1946,pv M,pv,M,19849.5,19855,19851.3333,19849.5,2.5927,3
1947,pv M,pv,M,19850,19862,19858,19862,4.6904,9
1948,pv M,pv,M,19850,19862,19860,19862,4,9
1949,pv M,pv,M,19839.5,19853,19849.3571,19850,4.5254,7
1950,pv M,pv,M,19843.5,19855.5,19851.75,19855.5,5.1417,8
1951,pv M,pv,M,19844,19859,19850.4286,19850,4.9239,7
1952,pv M,pv,M,19840.75,19856,19849.25,19847.5,5.3346,9
1953,pv M,pv,M,19834.87,19856,19847.4783,19850,6.6177,6
1954,pv M,pv,M,19844,19856,19851.3333,19856,5.4975,9
1955,pv M,pv,M,19840,19848,19845.7778,19848,2.7397,9
1956,pv M,pv,M,19838,19844,19842,19844,2.4495,9
1957,pv M,pv,M,19838,19856,19848.6667,19850,6.1824,9
1958,pv M,pv,M,19831,19843,19838.7143,19838,3.7688,7
1959,pv M,pv,M,19835.25,19850,19842.8125,19842.25,4.7775,8
1960,pv M,pv,M,19841,19850,19846,19844,3.7417,9
1961,pv M,pv,M,19829.75,19850,19837.5278,19834,6.1288,9
1962,pv M,pv,M,19829,19844,19838.1667,19838,6.0185,9
