Year,Event Name,Event Short Name,Gender,Minimum,Maximum,Mean,Median,Standard Deviation,Sample Size
1974,shot F,shot,F,19431.5,19629.25,19532.1111,19569,65.9895,9
1975,shot F,shot,F,19492.25,19540,19513.8056,19512,12.9689,9
1976,shot F,shot,F,19486.25,19522.5,19505.6944,19502.5,10.7114,9
1977,shot F,shot,F,19475,19532,19500.0313,19500,17.4223,8
1978,shot F,shot,F,19448.5,19502.75,19475.2778,19464.75,18.7303,9
1979,shot F,shot,F,19405.5,19497,19454.5938,19465.5,33.4143,8
1980,shot F,shot,F,19419.5,19505,19463.0313,19469.75,24.142,8
1981,shot F,shot,F,19379.5,19518.75,19472.3611,19483.75,38.8652,9
1982,shot F,shot,F,19397,19517.5,19469.6944,19471,32.0659,9
1983,shot F,shot,F,19368.5,19539,19486.2778,19488.5,50.4164,9
1984,shot F,shot,F,19444.5,19510.5,19481.75,19496.25,23.7149,6
1985,shot F,shot,F,19436.75,19530.5,19482.0556,19489.5,27.9078,9
1986,shot F,shot,F,19457.75,19546.25,19504.3056,19504.5,28.8229,9
1987,shot F,shot,F,19475.5,19625.75,19516.0556,19500.75,43.1119,9
1988,shot F,shot,F,19421.5,19509.25,19481.5,19482.5,26.5764,9
1989,shot F,shot,F,19471,19546,19516.1111,19519.5,20.7479,9
1990,shot F,shot,F,19408.5,19533,19484.1389,19495,37.9993,9
1991,shot F,shot,F,19455.75,19534.75,19486.6944,19484,26.7651,9
1992,shot F,shot,F,19456.5,19514,19492.2778,19497.25,19.493,9
1993,shot F,shot,F,19364.5,19562,19478.0278,19478.75,49.8702,9
1994,shot F,shot,F,19438,19555.5,19488.6389,19487.5,33.8561,9
1995,shot F,shot,F,19429.25,19526,19493.6667,19506,29.0961,9
1996,shot F,shot,F,19483.75,19527.25,19497.8889,19498.25,12.6979,9
1997,shot F,shot,F,19430.75,19544.5,19484.1389,19473,34.8979,9
1998,shot F,shot,F,19413.25,19524,19474.1389,19482.75,32.7047,9
1999,shot F,shot,F,19418,19532,19475.8611,19478.75,34.1834,9
2000,shot F,shot,F,19392.75,19505.25,19458.4444,19464.25,38.8656,9
2001,shot F,shot,F,19397.75,19494.75,19469.0556,19475.25,28.5644,9
2002,shot F,shot,F,19435.5,19497.25,19461.8333,19466,19.1002,9
2003,shot F,shot,F,19395,19505,19457.9167,19467,39.9672,9
2004,shot F,shot,F,19400.25,19524.25,19470.2778,19475,43.6863,9
2005,shot F,shot,F,19428.5,19527.5,19483.5278,19490.25,33.5717,9
2006,shot F,shot,F,19454.75,19503.75,19481.8333,19481.5,13.3099,9
2007,shot F,shot,F,19426,19527.5,19481.3889,19484,28.6444,9
2008,shot F,shot,F,19420.5,19530,19497.0556,19500.75,30.3337,9
2009,shot F,shot,F,19394.25,19509,19475.3333,19483.75,34.0985,9
2010,shot F,shot,F,19429.5,19493,19468.5278,19477,22.8076,9
2011,shot F,shot,F,19482.75,19525.75,19505.75,19506.5,11.4928,9
2012,shot F,shot,F,19432.75,19516.5,19471.2778,19481.75,32.6661,9
2013,shot F,shot,F,19392.25,19506.75,19447.5833,19435.25,40.3388,9
2014,shot F,shot,F,19374,19476,19450.6111,19465.25,31.263,9
2015,shot F,shot,F,19397.5,19494.25,19448.5,19455,31.1216,9
2016,shot F,shot,F,19406.25,19491.75,19464,19461.75,23.698,9
2017,shot F,shot,F,19430.75,19511.25,19469.25,19463,24.8736,9
2018,shot F,shot,F,19437,19503,19469.3889,19476.25,19.499,9
2019,shot F,shot,F,19409.25,19488.75,19461.7222,19475.25,25.809,9
2022,shot F,shot,F,19472,19524.75,19504.1111,19505.5,14.949,9
2023,shot F,shot,F,19471.25,19520,19498.1389,19502.25,15.2994,9
2024,shot F,shot,F,19432.25,19508.25,19480.6111,19496,28.0042,9
