Year,Event Name,Event Short Name,Gender,Minimum,Maximum,Mean,Median,Standard Deviation,Sample Size
1915,shot M,shot,M,19445.62,19445.62,19445.62,19445.62,0,1
1916,shot M,shot,M,19431.75,19431.75,19431.75,19431.75,0,1
1917,shot M,shot,M,19426.75,19426.75,19426.75,19426.75,0,1
1918,shot M,shot,M,19466,19466,19466,19466,0,1
1919,shot M,shot,M,19469,19469,19469,19469,0,1
1920,shot M,shot,M,19415,19415,19415,19415,0,1
1921,shot M,shot,M,19376,19376,19376,19376,0,1
1922,shot M,shot,M,19335.75,19335.75,19335.75,19335.75,0,1
1923,shot M,shot,M,19423.5,19423.5,19423.5,19423.5,0,1
1924,shot M,shot,M,19404.75,19404.75,19404.75,19404.75,0,1
1925,shot M,shot,M,19410,19410,19410,19410,0,1
1926,shot M,shot,M,19411.75,19411.75,19411.75,19411.75,0,1
1928,shot M,shot,M,19413.5,19413.5,19413.5,19413.5,0,1
1929,shot M,shot,M,19358.5,19421.5,19396.4,19398,21.9986,5
1930,shot M,shot,M,19367.25,19367.25,19367.25,19367.25,0,1
1931,shot M,shot,M,19366,19383.75,19374,19373,6.525,5
1932,shot M,shot,M,19358,19378,19368,19378,10,2
1933,shot M,shot,M,19349,19420.5,19389.2,19398,25.843,5
1934,shot M,shot,M,19330,19391,19369.95,19374,21.8222,5
1935,shot M,shot,M,19334.75,19334.75,19334.75,19334.75,0,1
1936,shot M,shot,M,19346.75,19346.75,19346.75,19346.75,0,1
1937,shot M,shot,M,19331.25,19390,19367.8333,19377.75,19.3884,6
1938,shot M,shot,M,19334.25,19409,19381.05,19404.25,32.388,5
1939,shot M,shot,M,19351,19403.5,19381.1,19391.5,19.0772,5
1940,shot M,shot,M,19347.75,19394.5,19371.125,19394.5,23.375,2
1941,shot M,shot,M,19371.75,19391.75,19383.55,19383.5,6.9739,5
1946,shot M,shot,M,19286.25,19286.25,19286.25,19286.25,0,1
1947,shot M,shot,M,19353.25,19392.25,19372.85,19369.5,16.2131,5
1948,shot M,shot,M,19284.75,19395,19358.4722,19370,31.0688,9
1949,shot M,shot,M,19312.75,19360.75,19334.625,19340.25,16.5099,6
1950,shot M,shot,M,19322.5,19427.5,19359.25,19355.5,33.2766,6
1951,shot M,shot,M,19289.5,19388,19336.4167,19344.5,31.3906,6
1952,shot M,shot,M,19270.12,19373.25,19329.36,19332.37,35.3575,9
1953,shot M,shot,M,19272.75,19332.5,19311.9,19322.75,20.9879,5
1954,shot M,shot,M,19284.87,19364.5,19324.3933,19326.25,24.3801,9
1955,shot M,shot,M,19287.5,19337,19306.15,19294.25,19.4484,5
1956,shot M,shot,M,19234.5,19316,19287.77,19300.25,28.0487,6
1957,shot M,shot,M,19231.25,19327.5,19293.2222,19305.25,30.8111,9
1959,shot M,shot,M,19308,19408.5,19348.7222,19330.25,36.3239,9
1960,shot M,shot,M,19273,19339,19308.6111,19297.5,25.4842,9
1961,shot M,shot,M,19228.5,19342.5,19290.0556,19283.75,40.272,9
1962,shot M,shot,M,19253.75,19298,19273.25,19267.75,15.1346,9
1963,shot M,shot,M,19239.25,19315.25,19289.4063,19303,24.0436,8
1964,shot M,shot,M,19248.75,19293,19275.7917,19279,13.8462,6
1965,shot M,shot,M,19232.75,19307.5,19269.4167,19272.25,29.3508,9
1966,shot M,shot,M,19197,19300.5,19260.4722,19266.75,33.96,9
1967,shot M,shot,M,19216.75,19340.25,19270.5556,19270.5,38.8147,9
1968,shot M,shot,M,19233,19295.75,19274.7778,19278.25,21.0332,9
1969,shot M,shot,M,19266,19337.5,19293.5278,19296,21.5666,9
1970,shot M,shot,M,19235.75,19317.75,19271.8056,19261.25,25.9218,9
1971,shot M,shot,M,19193.5,19295.25,19259.8889,19262.5,34.1403,9
1972,shot M,shot,M,19212.5,19302.25,19269.0278,19274.75,27.5092,9
1973,shot M,shot,M,19192.75,19307,19264.5,19282.5,43.0257,9
1974,shot M,shot,M,19233.5,19300.5,19279.1389,19287.25,20.3811,9
1975,shot M,shot,M,19210.5,19332.25,19251.8056,19246,38.1426,9
1976,shot M,shot,M,19184,19365.25,19282.3889,19280.25,57.0262,9
1977,shot M,shot,M,19251.75,19356,19281.75,19277.25,32.4432,8
1978,shot M,shot,M,19209.75,19300,19269.8056,19270.75,24.6711,9
1979,shot M,shot,M,19249.25,19332.5,19294,19309,33.3731,9
1980,shot M,shot,M,19227.5,19316,19282.6875,19292,26.6314,8
1981,shot M,shot,M,19235.25,19322.5,19280.9444,19282.5,27.998,9
1982,shot M,shot,M,19276,19448.5,19338.0556,19322.5,46.8171,9
1983,shot M,shot,M,19234.5,19366,19306.9444,19317.5,39.1127,9
1984,shot M,shot,M,19224.75,19324.5,19278.8214,19273,39.8483,7
1985,shot M,shot,M,19180,19322.25,19285.1111,19296.75,39.3385,9
1986,shot M,shot,M,19264,19358,19310.7222,19302,29.5302,9
1987,shot M,shot,M,19196,19320.5,19282.4444,19300.75,38.35,9
1988,shot M,shot,M,19231.5,19332.5,19294.9444,19317.25,36.6001,9
1989,shot M,shot,M,19206.5,19350.25,19295.9167,19313.5,42.2964,9
1990,shot M,shot,M,19107.25,19378,19299.9444,19306.75,77.8866,9
