Year,Event Name,Event Short Name,Gender,Minimum,Maximum,Mean,Median,Standard Deviation,Sample Size
1915,100y M,100y,M,10.2,10.3,10.275,10.3,0.0433,4
1916,100y M,100y,M,10.4,10.4,10.4,10.4,0,1
1917,100y M,100y,M,10,10.3,10.225,10.3,0.1299,4
1918,100y M,100y,M,10.2,10.2,10.2,10.2,0,1
1919,100y M,100y,M,10.4,10.4,10.4,10.4,0,1
1920,100y M,100y,M,10,10.2,10.1,10.1,0.0816,3
1921,100y M,100y,M,10.2,10.2,10.2,10.2,0,1
1922,100y M,100y,M,10.4,10.7,10.56,10.5,0.12,5
1923,100y M,100y,M,10,10.1,10.0667,10.1,0.0471,3
1924,100y M,100y,M,10.1,10.1,10.1,10.1,0,1
1925,100y M,100y,M,10.1,10.1,10.1,10.1,0,1
1926,100y M,100y,M,9.8,10,9.9333,10,0.0943,3
1927,100y M,100y,M,9.8,10,9.9333,10,0.0943,3
1928,100y M,100y,M,9.6,9.7,9.65,9.7,0.05,2
1929,100y M,100y,M,9.8,10,9.9,10,0.1,2
1930,100y M,100y,M,10.1,10.1,10.1,10.1,0,1
1931,100y M,100y,M,9.9,9.9,9.9,9.9,0,1
1932,100y M,100y,M,9.8,9.8,9.8,9.8,0,1
1933,100y M,100y,M,10,10.1,10.05,10.1,0.05,2
1934,100y M,100y,M,10,10,10,10,0,1
1935,100y M,100y,M,9.6,9.7,9.65,9.7,0.05,2
1936,100y M,100y,M,9.7,9.7,9.7,9.7,0,1
1937,100y M,100y,M,9.8,10.1,9.95,10.1,0.15,2
1938,100y M,100y,M,9.8,9.9,9.8333,9.8,0.0471,3
1939,100y M,100y,M,9.9,10.3,10.075,10.1,0.1479,4
1940,100y M,100y,M,9.7,9.7,9.7,9.7,0,1
1941,100y M,100y,M,9.8,9.8,9.8,9.8,0,1
1946,100y M,100y,M,10,10.3,10.125,10.1,0.109,4
1947,100y M,100y,M,9.9,10.1,10,10.1,0.1,2
1948,100y M,100y,M,9.7,10,9.88,9.9,0.1166,5
1950,100y M,100y,M,9.9,9.9,9.9,9.9,0,2
1951,100y M,100y,M,9.7,9.8,9.76,9.8,0.049,5
1952,100y M,100y,M,9.9,10.1,10.0167,10.1,0.0898,6
1953,100y M,100y,M,9.6,9.8,9.72,9.7,0.0748,5
1954,100y M,100y,M,9.6,10.1,9.86,9.9,0.1855,5
1955,100y M,100y,M,10,10.2,10.14,10.2,0.08,5
1956,100y M,100y,M,9.5,10,9.7125,9.7,0.1536,8
1958,100y M,100y,M,9.6,10,9.76,9.7,0.1356,5
1959,100y M,100y,M,9.8,10,9.92,10,0.098,5
1960,100y M,100y,M,9.7,10.2,9.9375,10,0.1409,8
1961,100y M,100y,M,9.5,9.6,9.5667,9.6,0.0471,3
1962,100y M,100y,M,9.5,9.7,9.6429,9.7,0.0728,7
1963,100y M,100y,M,9.6,9.9,9.75,9.8,0.0866,8
1964,100y M,100y,M,9.7,9.9,9.8571,9.9,0.0728,7
1965,100y M,100y,M,9.5,9.9,9.6833,9.6,0.1572,6
1966,100y M,100y,M,9.6,9.9,9.7143,9.7,0.1125,7
1967,100y M,100y,M,9.4,9.7,9.6,9.7,0.1155,6
1968,100y M,100y,M,9.6,10,9.8444,9.8,0.1257,9
1969,100y M,100y,M,9.6,10.2,9.8778,9.9,0.1872,9
1970,100y M,100y,M,9.8,10.2,10.0222,10,0.1133,9
1971,100y M,100y,M,9.6,9.8,9.7143,9.7,0.0833,7
1972,100y M,100y,M,9.5,9.9,9.6857,9.6,0.1355,7
1973,100y M,100y,M,9.6,9.7,9.6667,9.7,0.0471,9
1974,100y M,100y,M,9.8,10.2,10,10,0.1155,9
1975,100y M,100y,M,9.4,9.6,9.5333,9.6,0.0745,6
1976,100y M,100y,M,10,10.3,10.1375,10.1,0.0992,8
1977,100y M,100y,M,9.61,9.92,9.8022,9.79,0.0932,9
1978,100y M,100y,M,9.85,10.1,10.0011,10.03,0.0712,9
1979,100y M,100y,M,9.59,10.08,9.8371,9.85,0.1698,7
