Year,Event Name,Event Short Name,Gender,Minimum,Maximum,Mean,Median,Standard Deviation,Sample Size
1980,1600m F,1600m,F,286.71,301.44,291.4229,288.57,5.6225,7
1981,1600m F,1600m,F,282.43,304.77,293.0675,294.27,7.3779,8
1982,1600m F,1600m,F,279.82,303.8,293.327,294.85,7.497,10
1983,1600m F,1600m,F,284.93,308.1,294.0944,289.66,9.2005,9
1984,1600m F,1600m,F,287.52,299.57,293.3175,295.39,4.2749,8
1985,1600m F,1600m,F,289.14,321.34,301.311,298.1,9.1297,10
1986,1600m F,1600m,F,282.57,321.19,297.136,298.85,11.7265,10
1987,1600m F,1600m,F,285.98,303.33,295.1778,295.38,5.7883,9
1988,1600m F,1600m,F,289.54,313.72,300.1722,299.84,7.9675,9
1989,1600m F,1600m,F,289.55,315.34,299.7188,298.8,7.933,8
1990,1600m F,1600m,F,288.74,314.75,298.5556,297.2,7.6248,9
1991,1600m F,1600m,F,285.11,301.96,293.6887,293.77,5.4046,8
1992,1600m F,1600m,F,288.52,312.74,300.9322,300.59,7.1218,9
1993,1600m F,1600m,F,290.83,309.28,301.9283,303.2,5.9103,6
1994,1600m F,1600m,F,294.28,314.05,302.8344,302.05,5.1069,9
1995,1600m F,1600m,F,285.35,310.33,297.2722,295.41,7.351,9
1996,1600m F,1600m,F,288.72,335.9,302.4778,298.99,12.9755,9
1997,1600m F,1600m,F,284.78,319.43,301.3356,300.44,9.9055,9
1998,1600m F,1600m,F,289.21,304.72,297.3856,296.91,5.5319,9
1999,1600m F,1600m,F,285.02,320.74,301.1267,301.26,11.526,9
2000,1600m F,1600m,F,289.63,307.54,295.03,294.23,5.1231,9
2001,1600m F,1600m,F,283.24,306.36,297.3844,300.94,7.6287,9
2002,1600m F,1600m,F,292.77,318.53,301.5438,298.93,7.6934,8
2003,1600m F,1600m,F,291.47,305.77,297.4433,296.39,4.6176,9
2004,1600m F,1600m,F,286.47,312.23,295.5122,294.55,7.3359,9
2005,1600m F,1600m,F,290.4,307.47,297.8156,297.54,4.5848,9
2006,1600m F,1600m,F,281.29,315.69,291.5667,285.62,10.9767,9
2007,1600m F,1600m,F,278.85,301.97,289.2089,288.98,6.6502,9
2008,1600m F,1600m,F,273.82,306.17,293.4225,293.47,7.2918,12
2009,1600m F,1600m,F,287.67,299.23,293.3564,292.39,3.8091,11
2010,1600m F,1600m,F,286.63,315.49,298.9358,301.67,8.3065,12
2011,1600m F,1600m,F,280.88,298.89,288.6667,288.2,5.0574,12
2012,1600m F,1600m,F,282.45,307.07,295.7008,296.96,7.3236,12
2013,1600m F,1600m,F,287.33,320.98,295.6708,293.31,9.1847,12
2014,1600m F,1600m,F,284.25,297.88,293.6058,293.64,3.5674,12
2015,1600m F,1600m,F,279.33,296.39,289.4067,291.39,5.7581,12
2016,1600m F,1600m,F,285.51,298.47,292.2858,292.89,3.7906,12
2017,1600m F,1600m,F,284.89,301.92,294.245,294.72,3.7688,12
2018,1600m F,1600m,F,282.77,295.28,288.6945,288.64,4.0148,11
2019,1600m F,1600m,F,282.58,303.53,292.8192,294.56,7.1523,12
2022,1600m F,1600m,F,276.67,300,286.5925,288.8,6.8171,12
2023,1600m F,1600m,F,273.45,294.51,285.9858,287.43,5.5942,12
2024,1600m F,1600m,F,272.06,307.79,289.7882,289.89,9.4606,11
