Year,Event Name,Event Short Name,Gender,Minimum,Maximum,Mean,Median,Standard Deviation,Sample Size
1915,1mile M,1mile,M,270,270,270,270,0,1
1916,1mile M,1mile,M,280.6,280.8,280.7,280.8,0.1,2
1917,1mile M,1mile,M,277.6,277.6,277.6,277.6,0,1
1918,1mile M,1mile,M,284.4,284.4,284.4,284.4,0,1
1919,1mile M,1mile,M,287,287,287,287,0,1
1920,1mile M,1mile,M,276.3,276.3,276.3,276.3,0,1
1921,1mile M,1mile,M,270.4,274.1,272.25,274.1,1.85,2
1922,1mile M,1mile,M,280,280.8,280.4,280.4,0.3162,5
1923,1mile M,1mile,M,271.6,271.6,271.6,271.6,0,1
1924,1mile M,1mile,M,277.1,277.1,277.1,277.1,0,1
1925,1mile M,1mile,M,275.2,276,275.6,276,0.4,2
1926,1mile M,1mile,M,275.7,275.7,275.7,275.7,0,1
1927,1mile M,1mile,M,276.6,276.6,276.6,276.6,0,1
1929,1mile M,1mile,M,271.1,273,271.875,272,0.7259,4
1930,1mile M,1mile,M,271,273,271.85,272,0.7533,4
1931,1mile M,1mile,M,272.8,273.5,273.15,273.5,0.35,2
1932,1mile M,1mile,M,272.3,272.6,272.5,272.6,0.1414,3
1933,1mile M,1mile,M,269.2,269.2,269.2,269.2,0,1
1934,1mile M,1mile,M,267.8,268.9,268.5,268.8,0.4301,4
1935,1mile M,1mile,M,270.4,277.7,273.0333,271,3.3089,3
1936,1mile M,1mile,M,271.2,271.4,271.3,271.4,0.1,2
1937,1mile M,1mile,M,270.4,272,271.2,272,0.8,2
1938,1mile M,1mile,M,266.9,268.2,267.55,268.2,0.65,2
1939,1mile M,1mile,M,266.8,275,269.22,267.5,3.1205,5
1940,1mile M,1mile,M,271.5,273,272.38,272.8,0.6079,5
1941,1mile M,1mile,M,272.8,273.3,273.05,273.3,0.25,2
1946,1mile M,1mile,M,264,265.5,264.75,265.5,0.75,2
1947,1mile M,1mile,M,269.2,269.6,269.4667,269.6,0.1886,3
1948,1mile M,1mile,M,269.1,269.8,269.45,269.8,0.35,2
1949,1mile M,1mile,M,265.1,280,272.55,273.2,4.5504,6
1950,1mile M,1mile,M,263.7,273,266.75,266.5,3.7792,4
1951,1mile M,1mile,M,270.7,273.8,272.525,273.2,1.1648,4
1952,1mile M,1mile,M,263.2,277,268.5,269,4.6876,6
1953,1mile M,1mile,M,261,278.5,268.9857,269.2,5.867,7
1954,1mile M,1mile,M,265.8,268.9,267.05,267.5,1.1087,6
1955,1mile M,1mile,M,260,275.8,266,262,6.32,7
1956,1mile M,1mile,M,260.1,268.1,262.9545,262.5,2.4433,11
1958,1mile M,1mile,M,263.7,271,267.9,268.8,2.2898,6
1959,1mile M,1mile,M,251,273.7,261.19,259.4,5.9987,10
1960,1mile M,1mile,M,254.3,267,259.1222,257.5,4.3491,9
1961,1mile M,1mile,M,254.8,272,261.9636,262.9,5.1422,11
1962,1mile M,1mile,M,248.7,268.8,260.375,261.2,5.8735,12
1963,1mile M,1mile,M,254.4,280,264.25,262.1,7.7527,8
1964,1mile M,1mile,M,251.2,280.4,262.9889,261.7,8.6533,9
1965,1mile M,1mile,M,248,265,255.875,254.6,5.6151,8
1966,1mile M,1mile,M,247,258.3,254.2125,255.1,3.0673,8
1967,1mile M,1mile,M,251.4,275,260.425,257.7,8.307,8
1968,1mile M,1mile,M,249,276.2,257.2556,253.3,8.5107,9
1969,1mile M,1mile,M,252.1,273.9,257.1222,254.4,6.448,9
1970,1mile M,1mile,M,252.9,265,257.2,256.2,3.4458,9
1971,1mile M,1mile,M,249.6,270.6,255.9,253.3,6.7231,8
1972,1mile M,1mile,M,245.4,271.7,255.6125,254.5,8.603,8
1973,1mile M,1mile,M,251.4,260,254.4111,254,2.6181,9
1974,1mile M,1mile,M,246.6,251.4,249.2,249.5,1.6432,9
1975,1mile M,1mile,M,249.5,262.6,253.8375,251.2,4.5003,8
1976,1mile M,1mile,M,254.6,273.1,261.28,260.3,5.8048,10
1977,1mile M,1mile,M,246.9,257.7,252.35,252.9,3.9626,10
1978,1mile M,1mile,M,248.91,262,255.2188,258,5.0069,8
1979,1mile M,1mile,M,252.82,272.8,257.6257,255.34,6.3062,7
