Year,Event Name,Event Short Name,Gender,Minimum,Maximum,Mean,Median,Standard Deviation,Sample Size
1915,discus M,discus,M,1356,1356,1356,1356,0,1
1916,discus M,discus,M,1404,1404,1404,1404,0,1
1917,discus M,discus,M,1475,1475,1475,1475,0,1
1918,discus M,discus,M,1370,1370,1370,1370,0,1
1919,discus M,discus,M,1446,1446,1446,1446,0,1
1920,discus M,discus,M,1544,1544,1544,1544,0,1
1921,discus M,discus,M,1625,1625,1625,1625,0,1
1922,discus M,discus,M,1404,1731,1567.5,1731,163.5,2
1923,discus M,discus,M,1480,1480,1480,1480,0,1
1924,discus M,discus,M,1494.5,1494.5,1494.5,1494.5,0,1
1925,discus M,discus,M,1518.62,1518.62,1518.62,1518.62,0,1
1926,discus M,discus,M,1368,1368,1368,1368,0,1
1927,discus M,discus,M,1629,1629,1629,1629,0,1
1928,discus M,discus,M,1434,1621,1527.5,1621,93.5,2
1929,discus M,discus,M,1450.75,1616.5,1526.85,1502.75,59.6763,5
1930,discus M,discus,M,1565.25,1565.25,1565.25,1565.25,0,1
1931,discus M,discus,M,1585.5,1585.5,1585.5,1585.5,0,1
1932,discus M,discus,M,1476,1571.5,1523.8333,1524,38.9879,3
1936,discus M,discus,M,2474,2474,2474,2474,0,1
1938,discus M,discus,M,2196,2322,2235.5625,2227,51.4242,4
1949,discus M,discus,M,1528.5,1742,1675.95,1701.5,75.4524,5
1950,discus M,discus,M,1468,1741.25,1572.15,1530,107.1538,5
1951,discus M,discus,M,1651.88,1985,1844.4383,1896.25,128.4908,6
1959,discus M,discus,M,1904,2113,1990.6667,2017.5,83.0781,6
1960,discus M,discus,M,1898.5,2144,2012,2069.5,96.1843,6
1961,discus M,discus,M,1824,2262.5,2004.0833,2039,149.9868,6
1962,discus M,discus,M,1564.6,2231.5,1866.5545,1855.5,210.7729,11
1963,discus M,discus,M,1791,2137,1961.4375,2032,124.1175,8
1964,discus M,discus,M,1934,2174,2042.75,2064,77.4528,8
1965,discus M,discus,M,1678,2067.5,1937.7222,1949,111.0087,9
1966,discus M,discus,M,1849,2269,2068.8889,2037,119.9483,9
1967,discus M,discus,M,1837,2138,2016.7222,2074.5,98.2344,9
1968,discus M,discus,M,1748,2207,2010.75,2004,129.2195,12
1969,discus M,discus,M,1926,2256,2070.1,2066,105.4319,10
1970,discus M,discus,M,1878,2415,2110.4444,2133,155.9922,9
1971,discus M,discus,M,1986,2208,2077,2089,77.2929,10
1972,discus M,discus,M,1776,2230,2063.1818,2092,126.3191,11
