Year,Event Name,Event Short Name,Gender,Minimum,Maximum,Mean,Median,Standard Deviation,Sample Size
1915,hj M,hj,M,69.5,69.5,69.5,69.5,0,1
1916,hj M,hj,M,68.5,68.5,68.5,68.5,0,1
1917,hj M,hj,M,69.25,69.25,69.25,69.25,0,1
1918,hj M,hj,M,71.75,71.75,71.75,71.75,0,1
1919,hj M,hj,M,66,66,66,66,0,1
1920,hj M,hj,M,71,72,71.5,72,0.5,2
1921,hj M,hj,M,69.75,72.5,70.6667,69.75,1.2964,3
1922,hj M,hj,M,70.25,70.25,70.25,70.25,0,1
1923,hj M,hj,M,71,71,71,71,0,1
1924,hj M,hj,M,73.25,73.25,73.25,73.25,0,1
1925,hj M,hj,M,68.5,73.5,70.1667,68.5,2.357,3
1926,hj M,hj,M,71,71,71,71,0,2
1927,hj M,hj,M,72.75,72.75,72.75,72.75,0,1
1928,hj M,hj,M,74.25,74.25,74.25,74.25,0,2
1929,hj M,hj,M,68,76.25,71.45,70,3.5086,5
1930,hj M,hj,M,71,72.5,71.3,71,0.6,5
1931,hj M,hj,M,71,76.5,74.3333,75,1.9508,6
1932,hj M,hj,M,74,75,74.3333,74,0.4714,3
1933,hj M,hj,M,69,77.75,72.3929,73,3.2289,7
1934,hj M,hj,M,74,77.875,75.175,75,1.4221,5
1935,hj M,hj,M,71,74,72.4286,73,1.0498,7
1936,hj M,hj,M,74,75.75,74.625,74.75,0.7181,4
1937,hj M,hj,M,73,76,74.4,75,1.2,5
1938,hj M,hj,M,73,79.125,74.225,73,2.45,5
1939,hj M,hj,M,72,76.5,73.9,74,1.7436,5
1940,hj M,hj,M,76.5,76.5,76.5,76.5,0,1
1941,hj M,hj,M,70,73,71.5,71.5,0.9487,5
1946,hj M,hj,M,72,74,73.3333,74,0.9428,3
1947,hj M,hj,M,70,72,70.8,70,0.9798,10
1948,hj M,hj,M,68,75,71.6667,72,2.3921,12
1950,hj M,hj,M,72,74,72.6,72,0.8,10
1951,hj M,hj,M,72,77.38,74.9114,75,1.4447,7
1952,hj M,hj,M,70.5,77.5,73.4167,72.5,2.0999,12
1953,hj M,hj,M,73,76,73.625,73,0.9922,8
1954,hj M,hj,M,70,77.5,72.7083,72,2.0662,12
1955,hj M,hj,M,75,81.38,76.8967,77,2.1649,6
1956,hj M,hj,M,74,75.25,74.5,74,0.6124,5
1958,hj M,hj,M,68,80,75.5714,77,4.4032,7
1959,hj M,hj,M,74.25,79.25,76.125,76.25,2.0272,8
1960,hj M,hj,M,74,78.25,75.8958,76.25,1.7031,12
1961,hj M,hj,M,72,80.25,75.4375,76,2.5701,12
1962,hj M,hj,M,74,79.5,76.875,77,1.9486,12
1963,hj M,hj,M,72,80,75.0833,74,2.5644,12
1964,hj M,hj,M,77.75,79.25,78.6071,79.25,0.7423,7
1965,hj M,hj,M,77.5,80.5,78.6667,78.5,0.8975,6
1966,hj M,hj,M,76,82,79,78,2.2361,10
1967,hj M,hj,M,74,81.25,78.9444,79,2.0843,9
1968,hj M,hj,M,78,84,79.6667,80,1.7951,12
1969,hj M,hj,M,74,84,77.3333,76,2.4944,12
1970,hj M,hj,M,72,84.25,77.5682,77,3.3846,11
1971,hj M,hj,M,74,85.5,79.7083,80,2.6806,12
1972,hj M,hj,M,72,82,78.6667,79,2.5927,12
1973,hj M,hj,M,74,78,75.6667,76,1.5986,12
1974,hj M,hj,M,76,84,79.6667,80,2.2485,12
1975,hj M,hj,M,78,84,80.7778,81,1.8725,9
1976,hj M,hj,M,76,83,80.25,82,2.2776,8
1977,hj M,hj,M,78,86,81.8182,82,1.9917,11
1978,hj M,hj,M,76,83,79.9091,81,2.2342,11
1979,hj M,hj,M,80,87.25,82.4643,82,2.2695,7
1980,hj M,hj,M,80,82,81,82,1,8
1981,hj M,hj,M,78,85,81.1042,81,2.4141,12
1982,hj M,hj,M,76,86,80.0909,80,2.5745,11
1983,hj M,hj,M,78,86,81.3333,82,2.7889,9
1984,hj M,hj,M,80,84,81.25,81,1.479,8
1985,hj M,hj,M,78,81,79.4286,80,1.2936,7
1986,hj M,hj,M,80,82,80.6667,80,0.9428,9
1987,hj M,hj,M,78,85.25,81.4375,82,2.0568,12
1988,hj M,hj,M,76,84,79.3333,80,2.4944,9
1989,hj M,hj,M,76,84,80.3333,80,2.2111,9
1990,hj M,hj,M,78,84,81.2222,81,2.2498,9
1991,hj M,hj,M,80,86,82.375,83,2.1759,8
1992,hj M,hj,M,78,83,80.5,81,1.2042,10
1993,hj M,hj,M,78,86,81.5,81,2.9155,8
1994,hj M,hj,M,78,84,80.6667,80,2.357,9
1995,hj M,hj,M,76,84,80.2222,80,2.5288,9
1996,hj M,hj,M,76,82,79.7778,80,1.7498,9
1997,hj M,hj,M,78,85,81.7778,81,2.6574,9
1998,hj M,hj,M,76,80,78,78,1.4142,8
1999,hj M,hj,M,78,83,80.5,81,1.6583,8
2000,hj M,hj,M,76,84,78.75,78,2.6339,8
2001,hj M,hj,M,74,82,78.6667,80,2.6667,9
2002,hj M,hj,M,75,83,79,79,2.3094,9
2003,hj M,hj,M,76,82,78.6667,78,1.8856,9
2004,hj M,hj,M,76,82.25,79.1389,80,1.9547,9
2005,hj M,hj,M,77,81,78.7778,79,1.7498,9
