Year,Event Name,Event Short Name,Gender,Minimum,Maximum,Mean,Median,Standard Deviation,Sample Size
1915,pv M,pv,M,138,138,138,138,0,1
1916,pv M,pv,M,141,141,141,141,0,1
1917,pv M,pv,M,132,132,132,132,0,1
1918,pv M,pv,M,138,138,138,138,0,1
1919,pv M,pv,M,126,126,126,126,0,1
1920,pv M,pv,M,135.5,142,139.5,141,2.8577,3
1921,pv M,pv,M,144,144,144,144,0,1
1922,pv M,pv,M,135,143.5,139.25,143.5,4.25,2
1923,pv M,pv,M,144,147.625,145.8125,147.625,1.8125,4
1924,pv M,pv,M,147,155.5,151.375,153,3.1893,4
1925,pv M,pv,M,144,153.62,147.124,144,3.9937,5
1926,pv M,pv,M,148,148,148,148,0,4
1927,pv M,pv,M,144,144,144,144,0,1
1928,pv M,pv,M,147,153.5,150.25,153.5,3.25,2
1929,pv M,pv,M,150,150,150,150,0,1
1930,pv M,pv,M,144,150,145.2,144,2.4,5
1931,pv M,pv,M,152.25,152.25,152.25,152.25,0,2
1932,pv M,pv,M,150,156,152,150,2.8284,6
1933,pv M,pv,M,144,151,146.5,148,2.6926,6
1934,pv M,pv,M,151,154,152.8,154,1.4697,5
1935,pv M,pv,M,142,154.5,146,145.5,4.5894,8
1936,pv M,pv,M,150,155,152,153,1.8516,7
1937,pv M,pv,M,150,157.25,151.2083,150,2.7019,6
1938,pv M,pv,M,150,154.75,152.3,152,2.1296,5
1939,pv M,pv,M,151.25,159.75,154.65,151.25,4.1641,5
1940,pv M,pv,M,153,156,154.2,153,1.4697,5
1941,pv M,pv,M,144,150,146.5714,144,2.9692,7
1946,pv M,pv,M,145,150.5,148.6667,150.5,2.5927,3
1947,pv M,pv,M,138,150,141.6,138,4.6087,10
1948,pv M,pv,M,138,150,139.5,138,3.5707,12
1950,pv M,pv,M,144.5,156.5,148.25,144.5,5.1417,8
1951,pv M,pv,M,141,156,149.5714,150,4.9239,7
1952,pv M,pv,M,138,159.25,148.5625,150,6.14,12
1953,pv M,pv,M,144,165.13,152.5217,150,6.6177,6
1954,pv M,pv,M,138,156,146,144,6.6332,12
1955,pv M,pv,M,152,160,154,152,2.6833,10
1956,pv M,pv,M,156,162,157.8,156,2.4,10
1958,pv M,pv,M,157,169,161.2857,162,3.7688,7
1959,pv M,pv,M,150,164.75,157.1875,157.75,4.7775,8
1960,pv M,pv,M,150,159,153,150,3.6742,12
1961,pv M,pv,M,138,170.25,160.025,166,9.3651,10
1962,pv M,pv,M,150,171,159.875,156,6.3775,12
1963,pv M,pv,M,159,176.75,168.125,169,4.9027,12
1964,pv M,pv,M,162,184.25,170.65,169,6.7446,10
1965,pv M,pv,M,162,186.5,171.1071,169,6.9922,7
1966,pv M,pv,M,162,180.75,169.75,172.25,6.9754,12
1967,pv M,pv,M,162,178,170,174,5.5678,8
1968,pv M,pv,M,162,182.5,171.2,168,8.0419,10
