Year,Event Name,Minimum,Maximum,Mean,Median,Standard Deviation,Sample Size
1912,5000m-men,876,918,899.3333,909,16.849,6
1920,5000m-men,895,929,916.4,921,10.3846,10
1924,5000m-men,871,954,916.6,929,26.8447,10
1928,5000m-men,878,902,888.3333,890,9.4281,6
1932,5000m-men,870,1040,909.1667,904,42.6768,12
1936,5000m-men,862,897,878.2727,879,10.6864,11
1948,5000m-men,857,883,871.25,879,9.9844,8
1952,5000m-men,846,899,867,866,15.6479,14
1956,5000m-men,819,871,850.1667,859,15.6994,12
1960,5000m-men,823,874,840.25,844,15.6372,12
1964,5000m-men,828,860,835.9091,831,9.9403,11
1968,5000m-men,845,899,861.25,858,16.6139,12
1972,5000m-men,806,833,815.6154,814,7.9279,13
1976,5000m-men,804,826,810.1538,807,6.7351,13
1980,5000m-men,801,814,804.8333,803,4.0995,12
1984,5000m-men,785,856,806.2857,804,19.0016,14
1988,5000m-men,791,853,810.2143,806,17.1222,14
1992,5000m-men,792,842,810.25,808,14.5795,16
1996,5000m-men,787,846,800.9333,793,16.5589,15
2000,5000m-men,815,826,819.1333,818,3.2836,15
2004,5000m-men,794,842,807.7857,805,14.1178,14
2008,5000m-men,777,835,801.0714,803,14.3301,14
2012,5000m-men,821,832,825.8,825,3.6185,15
2016,5000m-men,783,823,792,789,10.875,15
2020,5000m-men,778,824,788.5,788,11.1074,16
2024,5000m-men,793,829,802.5455,800,8.4731,22
