Year,Event Name,Minimum,Maximum,Mean,Median,Standard Deviation,Sample Size
1928,high-jump-women,1.4,1.595,1.4697,1.48,0.0576,18
1932,high-jump-women,1.41,1.65,1.56,1.58,0.0699,10
1936,high-jump-women,1.3,1.6,1.5065,1.5,0.0839,17
1948,high-jump-women,1.4,1.68,1.5111,1.5,0.0914,19
1952,high-jump-women,1.4,1.67,1.5471,1.55,0.0728,17
1956,high-jump-women,1.55,1.76,1.6278,1.64,0.0557,18
1960,high-jump-women,1.65,1.85,1.6773,1.65,0.052,15
1964,high-jump-women,1.65,1.9,1.7323,1.71,0.0608,13
1968,high-jump-women,1.68,1.82,1.7486,1.76,0.0455,14
1972,high-jump-women,1.71,1.92,1.8157,1.82,0.0464,23
1976,high-jump-women,1.78,1.93,1.8571,1.87,0.0379,21
1980,high-jump-women,1.8,1.97,1.8958,1.91,0.0448,12
1984,high-jump-women,1.85,2.02,1.9093,1.91,0.0556,15
1988,high-jump-women,1.9,2.01,1.9383,1.93,0.0418,12
1992,high-jump-women,1.83,2.02,1.9062,1.91,0.0584,16
1996,high-jump-women,1.93,2.05,1.9669,1.96,0.0395,13
2000,high-jump-women,1.9,2.01,1.9515,1.96,0.0386,13
2004,high-jump-women,1.85,2.06,1.9558,1.96,0.0566,12
2008,high-jump-women,1.89,2.05,1.9592,1.96,0.047,12
2012,high-jump-women,1.89,2.05,1.96,1.97,0.0499,11
2016,high-jump-women,1.88,1.97,1.9247,1.93,0.0329,17
2020,high-jump-women,1.84,2.04,1.9592,1.96,0.0473,13
2024,high-jump-women,1.86,2,1.9345,1.95,0.0492,11
