Year,Event Name,Minimum,Maximum,Mean,Median,Standard Deviation,Sample Size
1900,shot-put-men,11.52,14.1,12.5633,12.07,1.1095,3
1904,shot-put-men,12.39,14.81,13.7425,14.4,0.9407,4
1908,shot-put-men,13.18,14.21,13.67,13.62,0.422,3
1912,shot-put-men,13.93,15.34,14.84,15.25,0.6445,3
1920,shot-put-men,13.605,14.81,14.1117,14.15,0.3668,6
1924,shot-put-men,14.26,14.995,14.5883,14.64,0.2823,6
1928,shot-put-men,14.69,15.87,15.285,15.72,0.5071,6
1932,shot-put-men,15.33,16.005,15.6317,15.56,0.2802,3
1936,shot-put-men,14.12,16.2,15.124,15.23,0.5841,15
1948,shot-put-men,13.66,17.12,15.1258,15.05,1.0745,12
1952,shot-put-men,14.45,17.41,16.0377,16.06,0.9673,13
1956,shot-put-men,15.31,18.57,16.7357,16.63,0.9165,14
1960,shot-put-men,16.18,19.68,17.6227,17.43,0.9374,15
1964,shot-put-men,16.87,20.33,18.5669,18.52,1.0392,13
1968,shot-put-men,18.14,20.54,19.2542,19.28,0.7595,12
1972,shot-put-men,18.85,21.18,20.0567,20.09,0.8338,18
1976,shot-put-men,18.99,21.05,20.265,20.36,0.598,12
1980,shot-put-men,18.9,21.35,20.2408,20.32,0.752,12
1984,shot-put-men,18.31,21.26,19.8617,19.98,1.0326,12
1988,shot-put-men,19.51,22.47,20.7825,20.38,0.9747,12
1992,shot-put-men,19.32,21.7,20.3833,20.48,0.65,12
1996,shot-put-men,19.3,21.62,20.34,20.45,0.6529,11
2000,shot-put-men,18.64,21.29,20.2525,20.55,0.8698,12
2004,shot-put-men,19.21,21.16,20.2945,20.31,0.6018,11
2008,shot-put-men,20.06,21.51,20.7112,20.63,0.4371,8
2012,shot-put-men,19.99,21.89,20.9158,20.84,0.532,12
2016,shot-put-men,20.04,22.52,20.9882,20.72,0.6674,11
2020,shot-put-men,19.74,23.3,21.265,21,1.0543,12
2024,shot-put-men,20.24,22.9,21.4236,21.42,0.805,11
