Year,Event Name,Minimum,Maximum,Mean,Median,Standard Deviation,Sample Size
1904,triple-jump-men,12.91,14.32,13.6225,13.9,0.5339,4
1908,triple-jump-men,14.39,14.92,14.69,14.76,0.222,3
1912,triple-jump-men,14.03,14.35,14.16,14.1,0.1374,3
1920,triple-jump-men,14.08,14.505,14.28,14.27,0.1601,6
1924,triple-jump-men,14.35,15.525,15.1083,15.37,0.3971,6
1928,triple-jump-men,14.65,15.21,14.975,15.11,0.2213,6
1932,triple-jump-men,14.85,15.12,14.985,15.12,0.135,2
1936,triple-jump-men,13.15,16,14.6448,14.6,0.6232,23
1948,triple-jump-men,14.215,15.4,14.6735,14.53,0.383,13
1952,triple-jump-men,14.05,16.22,15.02,14.89,0.5417,15
1956,triple-jump-men,14.65,16.35,15.4443,15.4,0.4697,21
1960,triple-jump-men,15.07,16.81,15.9343,15.93,0.5141,14
1964,triple-jump-men,15.44,16.85,16.1562,16.1,0.3673,13
1968,triple-jump-men,15.62,17.39,16.6854,16.89,0.5795,13
1972,triple-jump-men,15.88,17.35,16.6525,16.83,0.4546,12
1976,triple-jump-men,16.23,17.29,16.6275,16.68,0.3571,12
1980,triple-jump-men,16.03,17.35,16.6464,16.56,0.4552,11
1984,triple-jump-men,15.99,17.26,16.6742,16.75,0.3636,12
1988,triple-jump-men,15.62,17.61,16.8467,17.03,0.6088,12
1992,triple-jump-men,16.23,18.17,17.1117,17.18,0.482,12
1996,triple-jump-men,16.38,18.09,17.1264,16.95,0.4968,11
2000,triple-jump-men,16.61,17.71,17.1591,17.08,0.314,11
2004,triple-jump-men,16.78,17.79,17.2082,17.13,0.3194,11
2008,triple-jump-men,16.28,17.67,17.0983,17.2,0.4431,12
2012,triple-jump-men,16.19,17.81,17.0891,17.08,0.4464,11
2016,triple-jump-men,16.31,17.86,16.9875,17.03,0.5016,12
2020,triple-jump-men,16.52,17.98,17.2118,17.25,0.413,11
2024,triple-jump-men,16.3,17.86,17.2725,17.41,0.4965,12
