Year,Place,Name,Country,Mark
1928,1,Harri Edvin LARVA,FIN,03:53.200
1928,2,Jules LADOUMEGUE,FRA,03:53.800
1928,3,Eino Alfred PURJE,FIN,03:56.400
1928,4,Hans-Georg WICHMANN,GER,03:56.800
1928,5,Cyril ELLIS,GBR,03:57.600
1928,6,Paul-René MARTIN,SUI,03:58.400
1928,7,Hans-helmuth KRAUSE,GER,03:59.000
1928,8,Adolf KITTEL,TCH,04:00.400
1928,9,William M. WHYTE,AUS,04:00.400
1928,10,Herbert BÖCHER,GER,
1928,11,Gerry COUGHLAN,IRL,
1928,12,Joaquín MIQUEL,ESP,
1928,13,Andreas PAOURIS,GRE,
1928,14,Grigorios GEORGAKOPOULOS,GRE,
1928,15,Gábor GYULAY,HUN,
1928,16,Antonios MANGOS,GRE,
1928,17,Georges L. BARATON,FRA,
1928,18,Ömer Besim KOŞALAY,TUR,
1928,19,Robert MASINO,MON,
1928,20,Vasilios STAVRINOS,GRE,
1928,21,Ciro CHAPA,MEX,
1928,22,Philip COENJAERTS,BEL,
1928,23,Juichi NAGATANI,JPN,
1928,24,Jesús OYARBIDE,ESP,
1928,25,Gurbachan SINGH,IND,
