Year,Place,Name,Country,Mark
1928,1,Robert Wade KING,USA,1.94
1928,2,Benjamen Van Doren HEDGES,USA,1.91
1928,3,Claude Charles MENARD,FRA,1.91
1928,4,Simeon Galvez TORIBIO,PHI,1.91
1928,5,Harold OSBORN,USA,1.91
1928,6,Kazuo KIMURA,JPN,1.88
1928,7,André CHERRIER,FRA,1.88
1928,8,Pierre LEWDEN,FRA,1.88
1928,9,Mikio ODA,JPN,1.88
1928,10,Charles English MCGINNIS,USA,1.88
1928,11,Henry Augustus SIMMONS,GBR,1.84
1928,12,Fritz KÖPKE,GER,1.84
1928,13,Kornel KESMARKI,HUN,1.84
1928,14,Einar TOMMELSTAD,NOR,1.84
1928,15,Herbert ADOLFSSON,SWE,1.84
1928,16,Willi BONEDER,GER,1.80
1928,17,Colin Ernest GORDON,GBR,1.70
1928,18,Fritz HUHN,GER,1.70
1928,19,Štefán STANISLAU,TCH,
1928,20,Ivan NILSSON,SWE,
1928,21,Johannes Hendrikus VILJOEN,RSA,
1928,22,Giuseppe PALMIERI,ITA,
1928,23,W. F. SCHEFFER,NED,
1928,24,Fritz UMFAHRER,AUT,
1928,25,Iivari H. YRJÖLÄ,FIN,
1928,26,Nils BERGSTRÖM,SWE,
1928,27,Evald ROHT,EST,
1928,28,Jean SABATIER,FRA,
1928,29,Gunnar HAGEN,NOR,
1928,30,Karlo TELESKO,YUG,
1928,31,Francisco COSTAS,MEX,
