Year,Place,Name,Country,Mark
1928,1,Ethel CATHERWOOD,CAN,1.595
1928,2,Carolina Anna GISOLF,NED,1.56
1928,3,Mildred Olive WILEY,USA,1.56
1928,4,Jean SHILEY,USA,1.51
1928,5,Marjorie R. CLARK,RSA,1.48
1928,6,Helma NOTTE,GER,1.48
1928,7,Inge BRAUMÃŒLLER,GER,1.48
1928,8,Catherine MAGUIRE,USA,1.48
1928,9,Marion HOLLEY,USA,1.48
1928,10,Léontine STEVENS,BEL,1.48
1928,11,Hélène BONS,FRA,1.45
1928,12,Lucienne LAUDRE,FRA,1.45
1928,13,Birgitta A. A. ADAMS-RAY,SWE,1.45
1928,14,Évelyne CLOUPET,FRA,1.40
1928,15,Ann-Margret AHLSTRAND,SWE,1.40
1928,16,Sidonie VERSCHUEREN,BEL,1.40
1928,17,Elise VAN TRUYEN,BEL,1.40
1928,18,E. BONETSMÜLLER,GER,1.40
1928,19,Yvonne BUISMA,NED,
1928,20,Zinaida LIEPIŅA,LAT,
1928,21,Marie STEVENS,BEL,
1928,22,Kinue HITOMI,JPN,
