Year,Place,Name,Country,Mark
1928,1,John H. KUCK,USA,15.87
1928,2,Herman Harold BRIX,USA,15.75
1928,3,Emil HIRSCHFELD,GER,15.72
1928,4,Eric KRENZ,USA,14.99
1928,5,Armas Ilmari WAHLSTEDT,FIN,14.69
1928,6,Wilhelm UEBLER,GER,14.69
1928,7,Martti ALAROTU,FIN,
1928,8,Georgios ZAKHAROPOULOS,GRE,
1928,9,Yonataro NAKAZAWA,JPN,
1928,10,Gaston MÉDÉCIN,MON,
1928,11,Harry Balthazar HART,RSA,
1928,12,Kalman EGRI,HUN,
1928,13,Peter BACSALMASI,HUN,
1928,14,Vilhelms ROZENBERGS,LAT,
1928,15,Émile RETTIG,FRA,
1928,16,António CARDOSO,POR,
1928,17,Kaarlo Werner JARVINEN,FIN,
1928,18,Yoshio OKITA,JPN,
1928,19,Károly HÁHN,HUN,
1928,20,Raymond DRECQ,FRA,
1928,21,Karlo AMBROZY,YUG,
1928,22,Jozef BARAN,POL,
