Year,Place,Name,Country,Mark
1928,1,Mikio ODA,JPN,15.21
1928,2,Lee CASEY,USA,15.17
1928,3,Vilho Immanuel TUULOS,FIN,15.11
1928,4,Chuhei NANBU,JPN,15.01
1928,5,Toimi TULIKOURA,FIN,14.70
1928,6,Erkki JÄRVINEN,FIN,14.65
1928,7,Béla BOTTLIK,HUN,
1928,8,André CLAYEUX,FRA,
1928,9,Jacques FLOURET,FRA,
1928,10,Zdravka JAKUPIĆ,YUG,
1928,11,Gunnar FREDRIKSEN,NOR,
1928,12,Stelios BENARDIS,GRE,
1928,13,Dalip SINGH,IND,
1928,14,Elemer SOMFAY,HUN,
1928,15,Paul COUILLAUD,FRA,
1928,16,André MOURLON,FRA,
1928,17,Eric SVENSSON,SWE,
