Year,Place,Name,Country,Mark
1920,1,Bevil Gordon D'Urban RUDD,RSA,49.600
1920,2,Guy Montagu BUTLER,GBR,50.1
1920,3,Nils ENGDAHL,SWE,50.2
1920,4,Frank SHEA,USA,50.4
1920,5,John Creyghton AINSWORTH-DAVIS,GBR,50.6
1920,6,Henning Johannes DAFEL,RSA,50.6
1920,7,Jules GUICHARD,FRA,
1920,8,Émile BARRAL,MON,
1920,9,Henri NOZIERES,SUI,
1920,10,William HUNT,AUS,
1920,11,Fritjoff Normann ANDERSEN,DEN,
1920,12,August Emanuel SÖRENSEN,DEN,
1920,13,Johannes VILLEMSON,EST,
1920,14,Cecil Richmond GRIFFITHS,GBR,
1920,15,Philip John NOEL-BAKER,GBR,
1920,16,Dimitrios KARABATIS,GRE,
1920,17,Ernesto AMBROSINI,ITA,
1920,18,Gensabulo NOGUCHI,JPN,
1920,19,Shinichi YAMAOKA,JPN,
1920,20,Jean COLBACH,LUX,
1920,21,Paul HAMMER,LUX,
1920,22,Eduard HAŠEK,TCH,
1920,23,Josef TEPLÝ,TCH,
1920,24,André DÉSFARGES,FRA,
