Year,Place,Name,Country,Mark
1920,1,Elmer Konstantin NIKLANDER,FIN,44.685
1920,2,Armas Rudolf TAIPALE,FIN,44.19
1920,3,Augustus POPE,USA,42.13
1920,4,Oscar ZALLHAGEN,SWE,41.07
1920,5,William Kenneth C. BARTLETT,USA,40.875
1920,6,Allan ERIKSSON,SWE,39.41
1920,7,Raoul Lucien PAOLI,FRA,
1920,8,Harald TAMMER,EST,
1920,9,Aleksander KLUMBERG,EST,
1920,10,Fausto ACKE,SWE,
1920,11,Luigi ANTOGNINI,SUI,
1920,12,Bernard GUGGENHEIM,SUI,
1920,13,Roy EVANS,USA,
1920,14,Benjamin Howard BAKER,GBR,
1920,15,Ignacio IZAGUIRRE,ESP,
1920,16,Ventura ELIZONDO,ESP,
1920,17,Nicolas KANIVE,LUX,
1920,18,Alex SERVAIS,LUX,
1920,19,Josef KOPECKY,TCH,
1920,20,Georgios REVELIOTIS,GRE,
1920,21,Gustave Marie WUYTS,BEL,
