Year,Place,Name,Country,Mark
1896,1,Ellery CLARK,USA,1.81
1896,2,Bob GARRETT,USA,1.65
1896,3,James Brendan CONNOLLY,USA,1.65
1896,4,Henrik SJÖBERG,SWE,1.60
1896,5,Fritz HOFMANN,GER,1.55
1896,6,Conrad BÖCKER,GER,
1896,7,J. Stanley EDWARDS,USA,
1896,8,Louis ADLER,FRA,
1896,9,Fritz TRAUN,GER,
1896,10,Alfred FLATOW,GER,
1896,11,Fritz MANTEUFFEL,GER,
1896,12,Gustav SCHUFT,GER,
1896,13,Gyula KAKAS,HUN,
1896,14,Harald ARBIN,SWE,
1896,15,Kurt DOERRY,GER,
1896,16,Gustav Felix FLATOW,GER,
1896,17,Karl GALLE,GER,
1896,18,Carl SCHUHMANN,GER,
1896,19,Alajos SZOKOLYI,HUN,
1896,20,Dezső WEIN,HUN,
