Year,Place,Name,Country,Mark
2004,1,Meseret DEFAR,ETH,14:45.650
2004,2,Isabella OCHICHI,KEN,14:48.190
2004,3,Tirunesh DIBABA,ETH,14:51.830
2004,4,Yelena ZADOROZHNAYA,RUS,14:55.520
2004,5,Jo PAVEY,GBR,14:57.870
2004,6,Gulnara GALKINA-SAMITOVA,RUS,15:02.300
2004,7,Irina MIKITENKO,GER,15:03.360
2004,8,Yingjie SUN,CHN,15:07.230
2004,9,Huina XING,CHN,15:07.410
2004,10,Sentayehu EJIGU,ETH,15:09.550
2004,11,Margaret MAURY,FRA,15:09.770
2004,12,Elvan ABEYLEGESSE,TUR,15:12.640
2004,13,Liliya SHOBUKHOVA,RUS,15:15.640
2004,14,Sonia O'SULLIVAN,IRL,16:20.900
2004,15,Edith MASAI,KEN,
