Year,Place,Name,Country,Mark
2004,1,Françoise MBANGO ETONE,CMR,15.30
2004,2,Hrysopiyi DEVETZI,GRE,15.25
2004,3,Tatyana LEBEDEVA,RUS,15.14
2004,4,Trecia SMITH,JAM,15.02
2004,5,Yamilé ALDAMA,SUD,14.99
2004,6,Baya RAHOULI,ALG,14.86
2004,7,Magdelin MARTINEZ,ITA,14.85
2004,8,Anna PYATYKH,RUS,14.79
2004,9,Yusmay BICET,CUB,14.57
2004,10,Olena HOVOROVA,UKR,14.35
2004,11,Olga VASDEKI,GRE,14.34
2004,12,Qiuyan HUANG,CHN,14.33
2004,13,Natalya SAFRONOVA,BLR,14.22
2004,14,Kene NDOYE,SEN,14.18
2004,15,Adelina GAVRILA,ROU,13.86
