Year,Place,Name,Country,Mark
1996,1,Venuste NIYONGABO,BDI,13:07.960
1996,2,Paul BITOK,KEN,13:08.160
1996,3,Khalid BOULAMI,MAR,13:08.370
1996,4,Dieter BAUMANN,GER,13:08.810
1996,5,Tom NYARIKI,KEN,13:12.290
1996,6,KENNEDY,USA,13:12.350
1996,7,Enrique MOLINA,ESP,13:12.910
1996,8,Brahim LAHLAFI,MAR,13:13.260
1996,9,Shem KORORIA,KEN,13:14.630
1996,10,Fita BAYISSA,ETH,13:18.300
1996,11,Ismail SGHYR,MAR,13:22.890
1996,12,Gennaro DI NAPOLI,ITA,13:28.360
1996,13,Reda BENZINE,ALG,13:42.340
1996,14,Stephane Oliver FRANKE,GER,13:44.640
1996,15,Aissa BELAOUT,ALG,14:06.520
1996,16,Aloys NIZIGAMA,BDI,
1996,17,Haile GEBRSELASSIE,ETH,
1996,18,Alyan AL-QAHTANI,KSA,
1996,19,Armando QUINTANILLA,MEX,
