Year,Place,Name,Country,Mark
1996,1,Charles AUSTIN,USA,2.39
1996,2,Artur PARTYKA,POL,2.37
1996,3,Stephen James SMITH,GBR,2.35
1996,4,Dragutin TOPIC,SCG,2.32
1996,5,Steinar HOEN,NOR,2.32
1996,6,Lambros PAPAKOSTAS,GRE,2.32
1996,7,Timothy FORSYTH,AUS,2.32
1996,8,Jin-Tack LEE,KOR,2.29
1996,9,Wolfgang KREISSIG,GER,2.29
1996,10,Przemyslaw RADKIEWICZ,POL,2.29
1996,11,Javier SOTOMAYOR,CUB,2.25
1996,12,Jaroslaw KOTEWICZ,POL,2.25
1996,13,Troy KEMP,BAH,2.25
1996,14,Tomas JANKU,CZE,2.25
1996,15,Patrick SJÖBERG,SWE,
