Year,Place,Name,Country,Mark
1992,1,Dieter BAUMANN,GER,13:12.520
1992,2,Paul BITOK,KEN,13:12.710
1992,3,Fita BAYISSA,ETH,13:13.030
1992,4,Moulay Brahim BOUTAYEB,MAR,13:13.270
1992,5,Yobes ONDIEKI,KEN,13:17.500
1992,6,Worku BIKILA,ETH,13:23.520
1992,7,Robert Neil DENMARK,GBR,13:27.760
1992,8,Abel ANTON RODRIGO,ESP,13:27.800
1992,9,Mohamed ISSANGAR,MAR,13:28.970
1992,10,Andrew SAMBU,TAN,13:37.200
1992,11,Domingos CASTRO,POR,13:38.080
1992,12,KENNEDY,USA,13:39.720
1992,13,Pascal THIEBAULT,FRA,13:43.390
1992,14,Dominic KIRUI,KEN,13:45.160
1992,15,Marcel VERSTEEG,NED,13:48.320
1992,16,Salvatore ANTIBO,ITA,14:02.470
1992,17,Hussein Salah JOAIM,YEM,
1992,18,Antonio Fabian SILIO,ARG,
1992,19,Vincent ROUSSEAU,BEL,
1992,20,Polin BELISLE,HON,
1992,21,Davendra Prakash SINGH,FIJ,
1992,22,Willy KALOMBO,COD,
