Year,Place,Name,Country,Mark
1992,1,Heike HENKEL,GER,2.02
1992,2,Alina ASTAFEI,ROU,2.00
1992,3,Ioamnet QUINTERO,CUB,1.97
1992,4,Stefka KOSTADINOVA,BUL,1.94
1992,5,Sigrid KIRCHMANN,AUT,1.94
1992,6,Silvia COSTA ACOSTA,CUB,1.94
1992,7,Megumi SATO,JPN,1.91
1992,8,Alison INVERARITY,AUS,1.91
1992,9,Debbie MARTI,GBR,1.91
1992,10,Donata JANCEWICZ,POL,1.88
1992,11,Birgit KÄHLER,GER,1.88
1992,12,Tanya HUGHES,USA,1.88
1992,13,Olga TURCHAK,EUN,1.83
1992,14,Valentina GOTOVSKA,LAT,1.83
1992,15,Britta BILAC,SLO,1.83
1992,16,Tatiana SHEVCHIK,EUN,1.83
1992,17,M.A.Sriyani KULAWANSA,SRI,
