Year,Place,Name,Country,Mark
2008,1,Asbel KIPROP,KEN,03:33.110
2008,2,Nick WILLIS,NZL,03:34.160
2008,3,Mehdi BAALA,FRA,03:34.210
2008,4,Juan Carlos HIGUERO,ESP,03:34.440
2008,5,Abdalaati IGUIDER,MAR,03:34.660
2008,6,Juan VAN DEVENTER,RSA,03:34.770
2008,7,Belal Mansoor ALI,BRN,03:35.230
2008,8,Andrew BADDELEY,GBR,03:35.370
2008,9,Augustine Kiprono CHOGE,KEN,03:35.500
2008,10,Daham Najim BASHIR,QAT,03:37.680
2008,11,Christian OBRIST,ITA,03:39.870
2008,12,Rashid RAMZI,BRN,
2008,13,Juan Luis BARRIOS,MEX,
2008,14,Ivan HESHKO,UKR,
