Year,Place,Name,Country,Mark
1936,1,Gunnar HÖCKERT,FIN,14:22.200
1936,2,Lauri Aleksanteri LEHTINEN,FIN,14:25.800
1936,3,Henry JONSSON-KÄLARNE,SWE,14:29.000
1936,4,Kohei MURAKOSO,JPN,14:30.000
1936,5,Jozef NOJI,POL,14:33.400
1936,6,Ilmari SALMINEN,FIN,14:39.800
1936,7,Umberto CERATI,ITA,14:44.400
1936,8,Louis Silvie ZAMPERINI,USA,14:46.800
1936,9,Rolf HANSEN,NOR,14:48.000
1936,10,Harry Johan Carl SIEFERT,DEN,14:48.400
1936,11,Peter Hans Dudley WARD,GBR,14:57.200
1936,12,Aubrey Vincent REEVE,GBR,
1936,13,Luis OLIVA,ARG,
1936,14,Ladislaus SIMACEK,AUT,
1936,15,Hugo ACOSTA,COL,
1936,16,Emilio TORRES,COL,
1936,17,Isidoro UNZUETA,ESP,
1936,18,Konstantin GHOUTIS,GRE,
1936,19,Bruno BETTI,ITA,
1936,20,John LOVELOCK,NZL,
