Year,Place,Name,Country,Mark
1936,1,Cornelius Cooper JOHNSON,USA,2.03
1936,2,David Donald ALBRITTON,USA,2.00
1936,3,Delos Packard THURBER,USA,2.00
1936,4,Kalevi KOTKAS,FIN,2.00
1936,5,Kimio YATA,JPN,1.97
1936,6,Lauri Fredrik Mikael KALIMA,FIN,1.94
1936,7,Gustav WEINKÖTZ,GER,1.94
1936,8,Hiroshi TANAKA,JPN,1.94
1936,9,Yoshiro ASAKUMA,JPN,1.94
1936,10,Aksel KUUSE,EST,1.90
1936,11,Günther GEHMERT,GER,1.90
1936,12,John Patrick METCALFE,AUS,1.85
1936,13,Joseph Brennan HALEY,CAN,1.85
1936,14,Poul Emil OTTO,DEN,1.85
1936,15,Veikko Tuomas PERÄSALO,FIN,1.85
1936,16,Mihaly BODOSI,HUN,1.85
1936,17,Jan BRASSER,NED,1.85
1936,18,Simeon Galvez TORIBIO,PHI,1.85
1936,19,Edwin Thomas THACKER,RSA,1.85
1936,20,Rudolf EGGENBERG,SUI,1.85
1936,21,Ake ÖDMARK,SWE,1.85
1936,22,Jerzy PLAWCZYK,POL,1.80
1936,23,Shih-Lin WANG,CHN,
1936,24,Pedro DEL VECCHIO,COL,
1936,25,Christian GILLMANN,FRA,
1936,26,René POIRIER,FRA,
1936,27,Louis THIEBERT,FRA,
1936,28,Kurt LUNDQVIST,SWE,
1936,29,Vladimír GALANDA,TCH,
1936,30,Fritz MARTINI,YUG,
1936,31,Nikola VUČEVIĆ,YUG,
