Year,Place,Name,Country,Mark
1936,1,Jesse OWENS,USA,8.06
1936,2,Carl Ludwig Luz LONG,GER,7.87
1936,3,Naoto TAJIMA,JPN,7.74
1936,4,Wilhelm LEICHUM,GER,7.73
1936,5,Arturo MAFFEI,ITA,7.73
1936,6,Robert Hyatt CLARK,USA,7.67
1936,7,John William BROOKS,USA,7.41
1936,8,Robert PAUL,FRA,7.34
1936,9,Arthur BÄUMLE,GER,7.32
1936,10,Otto BERG,NOR,7.30
1936,11,Ake STENQVIST,SWE,7.30
1936,12,Gianni CALDANA,ITA,7.26
1936,13,Josef VOSOLOBE,TCH,7.18
1936,14,Samuel RICHARDSON,CAN,7.13
1936,15,Marcio CASTELLAR DE OLIVEIRA,BRA,7.05
1936,16,Kaneyuki TOGAMI,JPN,6.18
1936,17,John Basil DICKINSON,AUS,
1936,18,John Patrick METCALFE,AUS,
1936,19,Pedro DEL VECCHIO,COL,
1936,20,Ingvard ANDERSEN,DEN,
1936,21,Ignacio SÁNCHEZ,ESP,
1936,22,Walter MÄDER,SUI,
