Year,Place,Name,Country,Mark
1936,1,Hans WOELLKE,GER,16.20
1936,2,Sulo BÄRLUND,FIN,16.12
1936,3,Gerhard STÖCK,GER,15.66
1936,4,Samuel Harrison FRANCIS,USA,15.45
1936,5,Johan TORRANCE,USA,15.38
1936,6,Dmitri Nickitovitch ZAITZ,USA,15.32
1936,7,Frantisek DOUDA,TCH,15.28
1936,8,Arnold VIIDING,EST,15.23
1936,9,Gunnar BERGH,SWE,15.01
1936,10,Hans-Heinrich SIEVERT,GER,14.79
1936,11,Aleksa KOVACEVIC,YUG,14.74
1936,12,Jozsef DARANYI,HUN,14.63
1936,13,Risto KUNTSI,FIN,14.61
1936,14,Istvan HORVATH,HUN,14.32
1936,15,Karel HOPLICEK,TCH,14.12
1936,16,Friedrich COUFAL,AUT,
1936,17,Robert VETTER,AUT,
1936,18,Johann WOTAPEK,AUT,
1936,19,Hans CONRADS,CHI,
1936,20,Jie GUO,CHN,
1936,21,Peigen LENG,CHN,
1936,22,Felix ERAUZQUIN ERAUZQUIN,ESP,
1936,23,Paul BOURRON,FRA,
1936,24,Horia PIETRARU,FRA,
1936,25,Ioannis SERAIDARIS,GRE,
1936,26,Kristjan VATTNES,ISL,
1936,27,Eiichiro MATSUNO,JPN,
1936,28,Zygmunt HELJASZ,POL,
1936,29,Harold ANDERSSON,SWE,
1936,30,Ake HEDVALL,SWE,
1936,31,Nikola VUČEVIĆ,YUG,
