Year,Place,Name,Country,Mark
1936,1,Naoto TAJIMA,JPN,16.00
1936,2,Masao HARADA,JPN,15.66
1936,3,John Patrick METCALFE,AUS,15.50
1936,4,Heinz WÖLLNER,GER,15.27
1936,5,Roland Lee ROMERO,USA,15.08
1936,6,Kenkichi OSHIMA,JPN,15.07
1936,7,Erich JOCH,GER,14.88
1936,8,Dudley Griffin WILKINS,USA,14.83
1936,9,Olavi Akseli SUOMELA,FIN,14.72
1936,10,Carl Ludwig Luz LONG,GER,14.62
1936,11,Edward LUCKHAUS,POL,14.61
1936,12,Lajos SOMLO,HUN,14.60
1936,13,Onni Rafael RAJASAARI,FIN,14.59
1936,14,Karl Eugen HAUGLAND,NOR,14.56
1936,15,Maarten KLASEMA,NED,14.55
1936,16,John Basil DICKINSON,AUS,14.48
1936,17,Billy BROWN,USA,14.36
1936,18,Bo LJUNGBERG,SWE,14.35
1936,19,Lennart ANDERSSON-AGNRED,SWE,14.26
1936,20,Samuel RICHARDSON,CAN,14.21
1936,21,Jovan MIKIC,YUG,13.90
1936,22,Sigurður SIGURÐSSON,ISL,13.58
1936,23,Karl KOTRATSCHEK,AUT,13.15
1936,24,Erich PULTAR,AUT,
1936,25,Ingvard ANDERSEN,DEN,
1936,26,Ignacio SÁNCHEZ,ESP,
1936,27,Kalle ILOVAARA,FIN,
1936,28,André FRANCQUENELLE,FRA,
1936,29,Stevan MIOKOVIĆ,YUG,
