Year,Place,Name,Country,Mark
1952,1,Marjorie JACKSON,AUS,23.700
1952,2,Bertha BROUWER,NED,24.200
1952,3,Nadezhda KHNYKINA-DVALISHVILI,URS,24.200
1952,4,Winsome CRIPPS-DENNIS,AUS,24.200
1952,5,Helga KLEIN,GER,24.600
1952,6,Daphne Lilian Evelyn ROBB-HASENJÄGER,RSA,24.600
1952,7,Lilian Reyna BUGLIA,ARG,
1952,8,Shirley STRICKLAND-DE LA HUNTY,AUS,
1952,9,Maria SANDER-DOMAGELLA,GER,
1952,10,Maria MUSSO,ITA,
1952,11,Fanny BLANKERS-KOEN,NED,
1952,12,Sonja PRETOT,SUI,
1952,13,Jorunn ASKERSRUD-TANGEN,NOR,
