Year,Place,Name,Country,Mark
1952,1,Emil ZATOPEK,TCH,14:06.600
1952,2,Alain MIMOUN,FRA,14:07.400
1952,3,Herbert SCHADE,GER,14:08.600
1952,4,Gordon PIRIE,GBR,14:18.000
1952,5,Christopher John CHATAWAY,GBR,14:18.000
1952,6,Leslie John PERRY,AUS,14:23.600
1952,7,Erno BERES,HUN,14:24.800
1952,8,Ake ANDERSSON,SWE,14:26.000
1952,9,Bertil ALBERTSSON,SWE,14:27.800
1952,10,Aleksandr ANUFRIYEV,URS,14:31.400
1952,11,Alan Bunyard PARKER,GBR,14:37.000
1952,12,Ilmari Rikhard TAIPALE,FIN,14:40.000
1952,13,Eero Allan TUOMAALA,FIN,14:54.200
1952,14,Lucien Maurice THEYS,BEL,14:59.000
1952,15,Gaston Etienne REIFF,BEL,
1952,16,Jan SZWARGOT,POL,
1952,17,Milan ŠVAJGR,TCH,
1952,18,José COLL,ESP,
1952,19,Antonio AMORÓS,ESP,
1952,20,Raúl INOSTROZA,CHI,
1952,21,Vasilios MAVRAPOSTOLOS,GRE,
1952,22,Willem SLIJKHUIS,NED,
