Year,Place,Name,Country,Mark
1952,1,Simeon Garland INESS,USA,55.03
1952,2,Adolfo CONSOLINI,ITA,53.78
1952,3,James Leo DILLION,USA,53.28
1952,4,Fortune Edward GORDIEN,USA,52.66
1952,5,Ferenc KLICS,HUN,51.13
1952,6,Otto GRIGALKA,URS,50.71
1952,7,Roland NILSSON,SWE,50.06
1952,8,Giuseppe TOSI,ITA,49.03
1952,9,Nikolaos SYLLAS,GRE,48.99
1952,10,Boris MATVEYEV,URS,48.70
1952,11,Boris BUTENKO,URS,48.15
1952,12,Karl Veikko Valdemar NYQVIST,FIN,47.72
1952,13,Jorgen MUNK-PLUM,DEN,47.26
1952,14,Gino Roy PELLA,CAN,46.63
1952,15,Konstantinos GIATAGANAS,GRE,46.23
1952,16,Per STAVEM,NOR,46.00
1952,17,Jean Victor Edmond MAISSANT,FRA,43.40
1952,18,Mihai RAICA,ROU,
1952,19,José Luis TORRES,ESP,
1952,20,Hermann TUNNER,AUT,
1952,21,Bob ADAMS,CAN,
1952,22,Georgios ROUBANIS,GRE,
1952,23,Cummin CLANCY,IRL,
