Year,Place,Name,Country,Mark
1952,1,Nina ROMASHKOVA-PONOMAREVA,URS,51.42
1952,2,Yelizaveta BAGRYANTSEVA,URS,47.08
1952,3,Nina DUMBADZE,URS,46.29
1952,4,Toyoko YOSHINO,JPN,43.81
1952,5,Charlotte Elisabeth HAIDEGGER,AUT,43.49
1952,6,Lia MANOLIU,ROU,42.65
1952,7,Ingeborg PFULLER,ARG,41.73
1952,8,Ilona SZIKORA,HUN,41.61
1952,9,Marianne WERNER-SCHULZE-ENTRUP,GER,41.03
1952,10,Yvette Winefred WILLIAMS,NZL,40.48
1952,11,Kaarina Kyllikki KOIVUNIEMI,FIN,40.33
1952,12,Ingeborg MELLO DE PREISS,ARG,39.04
1952,13,Libuse NOVAKOVA,TCH,38.83
1952,14,Edera CORDIALE-GENTILE,ITA,38.22
1952,15,Suzanne FARMER-ALLDAY,GBR,37.96
1952,16,Paulette VESTE,FRA,37.64
1952,17,Gretel BOLLIGER,SUI,36.36
1952,18,Frieda TILTSCH,AUT,27.84
1952,19,Đurđa BOROVEČ,YUG,
