Year,Place,Name,Country,Mark
1952,1,Walter Francis DAVIS,USA,2.04
1952,2,Kenneth George WIESNER,USA,2.01
1952,3,José TELLES DA CONCEIÇÃO,BRA,1.98
1952,4,Gosta SVENSSON,SWE,1.98
1952,5,Ronald Cecil PAVITT,GBR,1.95
1952,6,Ion SOTER,ROU,1.95
1952,7,Arnold BETTON,USA,1.95
1952,8,Bjørn GUNDERSEN,NOR,1.90
1952,9,Jacques DELELIENNE,BEL,1.90
1952,10,Josiah Olatunji MAJEKODUNMI,NGR,1.90
1952,11,Pekka Olavi HALME,FIN,1.90
1952,12,Peter WELLS,GBR,1.90
1952,13,Geogres Etienne DAMITIO,FRA,1.90
1952,14,Yury ILYASOV,URS,1.90
1952,15,Arne LJUNGQVIST,SWE,1.90
1952,16,Hans WAHLI,SUI,1.90
1952,17,Birger LEIRUD,NOR,1.90
1952,18,Claude Edmond BENARD,FRA,1.90
1952,19,Nafio Belo OSAGIE,NGR,1.90
1952,20,James Tettey OWOO,GHA,1.80
1952,21,Maram SUDARMODJO,INA,1.80
1952,22,Boniface Aggrey A. GOUBADIA,NGR,1.80
1952,23,Mihajlo DIMITRIJEVIC,YUG,1.80
1952,24,Pat LEANE,AUS,1.80
1952,25,Albert KOSKINEN,FIN,1.80
1952,26,Alan Sinclair PATERSON,GBR,1.80
1952,27,Téofilo DAVIS,VEN,1.80
1952,28,Yevgeny VANSOVICH,URS,1.80
1952,29,Oleg MAMONOV,URS,
1952,30,Kamtorn SNIDVONGS,THA,
