Year,Place,Name,Country,Mark
1952,1,Jerome Cousins BIFFLE,USA,7.57
1952,2,Meredith Charles GOURDINE,USA,7.53
1952,3,Ödön FÖLDESSY,HUN,7.30
1952,4,Ary FACANHA DE SA,BRA,7.23
1952,5,Jorma Olavi VALTONEN,FIN,7.16
1952,6,Leonid GRIGORYEV,URS,7.14
1952,7,Karl-Erik ISRAELSSON,SWE,7.10
1952,8,Paul FAUCHER,FRA,7.02
1952,9,Pentti SNELLMAN,FIN,7.02
1952,10,Masaji TAJIMA,JPN,7.00
1952,11,Neville Graham PRICE,RSA,6.40
1952,12,Hendrik VISSER,NED,
1952,13,George Henry Jr. BROWN,USA,
1952,14,Boris BRNAD,YUG,
1952,15,Roy FEARON,GUA,
1952,16,Günther JOBST,GER,
1952,17,Sebastián JUNQUERAS,ESP,
1952,18,Mikhail MIKHAIL,GRE,
1952,19,Vasilios SAKELLARAKIS,GRE,
1952,20,Julio BARILLAS,GUA,
1952,21,Álvaro DIAS,POR,
1952,22,Francisco Javier ORTEGA CASTRO,PUR,
1952,23,Arnoldo DEVONISH,VEN,
1952,24,Paulino FERRER,VEN,
