Year,Place,Name,Country,Mark
1952,1,Parry O'BRIEN,USA,17.41
1952,2,Darrow Clarence HOOPER,USA,17.39
1952,3,James Emanuel FUCHS,USA,17.06
1952,4,Otto GRIGALKA,URS,16.78
1952,5,Roland NILSSON,SWE,16.55
1952,6,John Andrew SAVIDGE,GBR,16.19
1952,7,Georgy FYODOROV,URS,16.06
1952,8,Per STAVEM,NOR,16.02
1952,9,Jiri SKOBLA,TCH,15.92
1952,10,Tadeusz KRZYZANOWSKI,POL,15.08
1952,11,Lucien GUILLER,FRA,14.84
1952,12,Angiolo PROFETI,ITA,14.74
1952,13,Alois SCHWABL,AUT,14.45
1952,14,Gino Roy PELLA,CAN,
1952,15,Aristidis ROUBANIS,GRE,
1952,16,Friðrik GUÐMUNDSSON,ISL,
1952,17,Mieczyslaw LOMOWSKI,POL,
