Year,Place,Name,Country,Mark
1952,1,Galina ZYBINA,URS,15.28
1952,2,Marianne WERNER-SCHULZE-ENTRUP,GER,14.57
1952,3,Klavdiya TOCHONOVA,URS,14.50
1952,4,Tamara TYSHKEVICH,URS,14.42
1952,5,Gertrud KILLE,GER,13.84
1952,6,Yvette Winefred WILLIAMS,NZL,13.35
1952,7,Marija RADOSAVLJEVIC,YUG,13.30
1952,8,Meeri Anna-Liisa SAARI,FIN,13.02
1952,9,Paulette VESTE,FRA,12.96
1952,10,Magdalena BREGULANKA,POL,12.93
1952,11,Dorothea (Doris) KRESS,GER,12.91
1952,12,Jaroslava KOMARKOVA-KRITKOVA,TCH,12.73
1952,13,Eivor OLSSON,SWE,12.46
1952,14,Nada KOTLUSEK,YUG,11.98
1952,15,Agnes OLSEN,DEN,
1952,16,Raayah RON,ISR,
1952,17,Charlotte Elisabeth HAIDEGGER,AUT,
1952,18,Olga WINTERBERG,ISR,
1952,19,Esther Cornelia BRAND,RSA,
1952,20,Toyoko YOSHINO,JPN,
