Year,Place,Name,Country,Mark
1908,1,Martin SHERIDAN,USA,40.89
1908,2,Merritt Hayward GIFFIN,USA,40.70
1908,3,Bill HORR,USA,39.45
1908,4,Karl JANK,AUT,
1908,5,František VYSKOCIL,CZE,
1908,6,Pál ANTAL,HUN,
1908,7,Károly HALMOS,HUN,
1908,8,Moritz RASMUSSEN,DEN,
1908,9,Edmond BAILLARD,FRA,
1908,10,Hans REHDER,GER,
1908,11,Lajos VERES,HUN,
1908,12,Hans TRONNER,AUT,
1908,13,Edward Blake ARCHIBALD,CAN,
1908,14,Con WALSH,CAN,
1908,15,Harald AGGER,DEN,
1908,16,Juho HALME,FIN,
1908,17,Johan Valdemar KEMP,FIN,
1908,18,Raoul Lucien PAOLI,FRA,
1908,19,Karoly KOBULSZKY,HUN,
1908,20,Istvan MUDIN,HUN,
1908,21,Gyula STRAUSZ,HUN,
1908,22,David Douglas STUPART,RSA,
1908,23,Bruno Julius WAGNER,SUI,
1908,24,Matt MCGRATH,USA,
1908,25,Ralph ROSE,USA,
1908,26,André DÉSFARGES,FRA,
