Year,Place,Name,Country,Mark
1908,1,Ray EWRY,USA,3.33
1908,2,Kostas TSIKLITIRAS,GRE,3.22
1908,3,Martin SHERIDAN,USA,3.22
1908,4,Boldizsár HORVATH,HUN,
1908,5,Andor HORNER,HUN,
1908,6,František VYSKOCIL,CZE,
1908,7,John SCHOMMER,USA,
1908,8,Alex QUINN,CAN,
1908,9,Arthur RADO,HUN,
1908,10,Andor SZENDE,HUN,
1908,11,Pierre DURAND,FRA,
1908,12,Ernest HUTCHEON,AUS,
1908,13,Georges DUBOIS,FRA,
1908,14,Pierre FAILLIOT,FRA,
1908,15,Patrick Joseph LEAHY,GBR,
1908,16,Cornelius LEAHY,GBR,
1908,17,Ludwig UETTWILLER,GER,
1908,18,Hermann VON BÖNNING-HAUSEN,GER,
1908,19,Nandor KOVACS,HUN,
1908,20,Imre MUDIN,HUN,
1908,21,Wilhelm BLYSTAD,NOR,
1908,22,David Douglas STUPART,RSA,
1908,23,John Joseph BRENNAN,USA,
1908,24,Lawson N. ROBERTSON,USA,
1908,25,Karl LAMPELMAYER,AUT,
