Year,Place,Name,Country,Mark
1908,1,Ralph ROSE,USA,14.21
1908,2,Dennis HORGAN,GBR,13.62
1908,3,John Carlyle GARRELS,USA,13.18
1908,4,František VYSKOCIL,CZE,
1908,5,Lajos VERES,HUN,
1908,6,András KOZLA,HUN,
1908,7,Edmond BAILLARD,FRA,
1908,8,Karl JANK,AUT,
1908,9,Thomas KIRKWOOD,GBR,
1908,10,William KRUEGER,USA,
1908,11,Paul GOUVERT,FRA,
1908,12,John SCHOMMER,USA,
1908,13,Ben STEPHENSON,USA,
1908,14,István SZEKELYHIDY,HUN,
1908,15,Kálmán KIRCHHOFFER,HUN,
1908,16,Raoul Lucien PAOLI,FRA,
1908,17,H. HUBINEN,BEL,
1908,18,Moritz RASMUSSEN,DEN,
1908,19,Hans TRONNER,AUT,
1908,20,František SOUČEK,CZE,
1908,21,Miroslav SUSTERA,CZE,
1908,22,Con WALSH,CAN,
1908,23,Svend LANGKJAER,DEN,
1908,24,Evert Brynolf JAKOBSSON,FIN,
1908,25,Jarl Gustav Anian JAKOBSSON,FIN,
1908,26,Johan Valdemar KEMP,FIN,
1908,27,Lauri PIHKALA,FIN,
1908,28,Aarne SALOVAARA,FIN,
1908,29,Lauri WILSKMAN,FIN,
1908,30,Henri Alphonse JARDIN,FRA,
1908,31,Ferenc JESINA,HUN,
1908,32,György LUNZER,HUN,
1908,33,Imre MUDIN,HUN,
1908,34,Umberto AVATTANEO,ITA,
1908,35,David Douglas STUPART,RSA,
1908,36,Eric LEMMING,SWE,
1908,37,Theodor NEIJSTRÖM,SWE,
1908,38,Otto NILSSON,SWE,
1908,39,John Joseph FLANAGAN,USA,
1908,40,Simon Patrick GILLIS,USA,
1908,41,André DÉSFARGES,FRA,
1908,42,Mihály DÁVID,HUN,
1908,43,Otto FRANKE,GER,
