Year,Place,Name,Country,Mark
1948,1,Henry ERIKSSON,SWE,03:49.800
1948,2,Lennart STRAND,SWE,03:50.400
1948,3,Willem SLIJKHUIS,NED,03:50.400
1948,4,Vaclav CEVONA,TCH,03:51.200
1948,5,Gösta BERGKVIST,SWE,03:52.200
1948,6,George William NANKEVILLE,GBR,03:52.600
1948,7,Sandor GARAI,HUN,03:54.400
1948,8,Don GEHRMANN,USA,03:54.500
1948,9,Erik Arne JÖRGENSEN,DEN,03:56.100
1948,10,Joseph BARTHEL,LUX,03:56.900
1948,11,Marcel HANSENNE,FRA,04:02.000
1948,12,Bruno SCHNEIDER,AUT,
1948,13,Daniel POYÁN,ESP,
1948,14,Adan Mario TORRES,ARG,
1948,15,Gaston Etienne REIFF,BEL,
1948,16,Raymond ROSIER,BEL,
1948,17,Hans A. STREULI,SUI,
