Year,Place,Name,Country,Mark
1948,1,Alice Marie COACHMAN,USA,1.68
1948,2,Dorothy Beatrice J. ODAM-TYLER,GBR,1.68
1948,3,Micheline OSTERMEYER,FRA,1.61
1948,4,Vinton BECKETT,JAM,1.58
1948,5,Doreen M. DREDGE,CAN,1.58
1948,6,Bertha CROWTHER,GBR,1.58
1948,7,Ilse STEINEGGER,AUT,1.55
1948,8,Dora Kathleen GARDNER,GBR,1.55
1948,9,Annemarie Rönnov IVERSEN,DEN,1.50
1948,10,Simone RUAS-PEIRONE,FRA,1.50
1948,11,Carmen PHIPPS,JAM,1.50
1948,12,Cynthia Bernice ROBINSON,USA,1.50
1948,13,Shirley GORDON,CAN,1.50
1948,14,Anne-Marie COLCHEN,FRA,1.40
1948,15,Emma REED,USA,1.40
1948,16,Catherine BOURKEL,LUX,1.40
1948,17,Elisabeth Clara MÜLLER,BRA,1.40
1948,18,Olga GYARMATI,HUN,1.40
1948,19,Elaine SILBURN,CAN,1.40
1948,20,Noemi SIMONETTO DE PORTELA,ARG,
1948,21,Milena LUDWIG,LUX,
1948,22,Fanny BLANKERS-KOEN,NED,
