Year,Place,Name,Country,Mark
2012,1,Meseret DEFAR,ETH,15:04.250
2012,2,Vivian CHERUIYOT,KEN,15:04.730
2012,3,Tirunesh DIBABA,ETH,15:05.150
2012,4,Sally Jepkosgei KIPYEGO,KEN,15:05.790
2012,5,Gelete BURKA,ETH,15:10.660
2012,6,Viola Jelagat KIBIWOT,KEN,15:11.590
2012,7,Jo PAVEY,GBR,15:12.720
2012,8,Julia BLEASDALE,GBR,15:14.550
2012,9,Olga GOLOVKINA,RUS,15:17.880
2012,10,Shitaye ESHETE,BRN,15:19.130
2012,11,Molly HUDDLE,USA,15:20.290
2012,12,Tejitu DABA,BRN,15:21.340
2012,13,Yelena NAGOVITSYNA,RUS,15:21.380
2012,14,Julie CULLEY,USA,15:28.220
2012,15,Elena ROMAGNOLO,ITA,15:35.690
2012,16,Lyudmyla KOVALENKO,UKR,
2012,17,Sara MOREIRA,POR,
