Year,Place,Name,Country,Mark
2012,1,Brittney REESE,USA,7.12
2012,2,Elena SOKOLOVA,RUS,7.07
2012,3,Janay DELOACH,USA,6.89
2012,4,Lyudmila KOLCHANOVA,RUS,6.76
2012,5,Eloyse LESUEUR,FRA,6.67
2012,6,Shara PROCTOR,GBR,6.55
2012,7,Veronika SHUTKOVA,BLR,6.54
2012,8,Ivana SPANOVIC,SRB,6.35
2012,9,Maiko GOGOLADZE,GEO,
2012,10,Yuliya TARASOVA,UZB,
2012,11,Karin MELIS,TUR,
2012,12,Marharyta TVERDOHLIB,UKR,
2012,13,Ineta RADEVICA,LAT,
2012,14,Nastassia MIRONCHYK-IVANOVA,BLR,
2012,15,Anna NAZAROVA,RUS,
2012,16,Caterine IBARGUEN,COL,
2012,17,Margrethe RENSTROM,NOR,
