Year,Place,Name,Country,Mark
1932,1,Duncan MCNAUGHTON,CAN,1.97
1932,2,Robert VAN OSDEL,USA,1.97
1932,3,Simeon Galvez TORIBIO,PHI,1.97
1932,4,Cornelius Cooper JOHNSON,USA,1.97
1932,5,Ilmari REINIKKA,FIN,1.94
1932,6,Kazuo KIMURA,JPN,1.94
1932,7,Misao ONO,JPN,1.90
1932,8,Jerzy PLAWCZYK,POL,1.90
1932,9,Jack PORTLAND,CAN,1.85
1932,10,Claude Charles MENARD,FRA,1.85
1932,11,George Burton SPITZ,USA,1.85
1932,12,Birger HAUG,NOR,1.85
1932,13,Angelo TOMMASI,ITA,1.85
1932,14,Paul RIESEN,SUI,1.80
1932,15,Nelson LORENZI,BRA,
1932,16,Rafael PÉREZ,CUB,
1932,17,Carlos WOEBCKEN,BRA,
1932,18,Lucio Almeida DE CASTRO GOLCALVES,BRA,
1932,19,Nikolaos PAPANIKOLAOU,GRE,
1932,20,Mikio ODA,JPN,
