Year,Place,Name,Country,Mark
1984,1,Ulrike MEYFARTH,FRG,2.02
1984,2,Sara SIMEONI,ITA,2.00
1984,3,Johanna Luann HUNTLEY,USA,1.97
1984,4,Maryse EWANJE-EPEE,FRA,1.94
1984,5,Deborah BRILL,CAN,1.94
1984,6,Vanessa BROWNE,AUS,1.94
1984,7,Da-Zhen ZHENG,CHN,1.91
1984,8,Dorothy Louise RITTER,USA,1.91
1984,9,Wen-Qin YANG,CHN,1.88
1984,10,Diana Clare ELLIOTT-DAVIES,GBR,1.88
1984,11,Chris STANTON,AUS,1.85
1984,12,Heike HENKEL,FRG,1.85
1984,13,Brigitte HOLZAPFEL,FRG,1.85
1984,14,Niculina VASILE,ROU,1.85
1984,15,Pamela Ann SPENCER,USA,1.85
1984,16,Marjon WIJNSMA,NED,
